"restaurant_name","city","restaurant_type","swiggy_mins","zomato_mins","avg_minutes"
"Restaurant_908","Delhi","Casual Dining",56,52,"54.00"
"Restaurant_1449","Pune","Food Truck",57,51,"54.00"
"Restaurant_1313","Pune","Qsr (Quick Service)",55,53,"54.00"
"Restaurant_1303","Pune","Cloud Kitchen",56,52,"54.00"
"Restaurant_1294","Pune","Cafe",50,57,"53.50"
"Restaurant_1992","Kolkata","Food Truck",55,52,"53.50"
"Restaurant_1149","Delhi","Fine Dine",49,58,"53.50"
"Restaurant_1166","Delhi","Cafe",53,54,"53.50"
"Restaurant_741","Bangalore","Cafe",54,53,"53.50"
"Restaurant_740","Bangalore","Cloud Kitchen",54,53,"53.50"
"Restaurant_1249","Delhi","Qsr (Quick Service)",54,53,"53.50"
"Restaurant_1630","Hyderabad","Food Truck",53,54,"53.50"
"Restaurant_611","Bangalore","Casual Dining",58,49,"53.50"
"Restaurant_928","Delhi","Cloud Kitchen",53,54,"53.50"
"Restaurant_2067","Kolkata","Fine Dine",55,52,"53.50"
"Restaurant_158","Mumbai","Cafe",57,50,"53.50"
"Restaurant_1337","Pune","Cafe",53,54,"53.50"
"Restaurant_527","Bangalore","Cafe",52,55,"53.50"
"Restaurant_2041","Kolkata","Fine Dine",55,52,"53.50"
"Restaurant_997","Delhi","Cloud Kitchen",57,50,"53.50"
"Restaurant_2079","Kolkata","Fine Dine",54,53,"53.50"
"Restaurant_1402","Pune","Casual Dining",57,50,"53.50"
"Restaurant_404","Mumbai","Food Truck",58,49,"53.50"
"Restaurant_1483","Pune","Cafe",49,58,"53.50"
"Restaurant_328","Mumbai","Qsr (Quick Service)",56,51,"53.50"
"Restaurant_2371","Jaipur","Casual Dining",54,53,"53.50"
"Restaurant_263","Mumbai","Cafe",51,56,"53.50"
"Restaurant_40","Mumbai","Food Truck",55,51,"53.00"
"Restaurant_1848","Chennai","Cloud Kitchen",52,54,"53.00"
"Restaurant_1443","Pune","Casual Dining",58,48,"53.00"
"Restaurant_2393","Jaipur","Cafe",58,48,"53.00"
"Restaurant_1765","Chennai","Qsr (Quick Service)",52,54,"53.00"
"Restaurant_27","Mumbai","Qsr (Quick Service)",53,53,"53.00"
"Restaurant_1343","Pune","Cloud Kitchen",50,56,"53.00"
"Restaurant_1274","Pune","Cloud Kitchen",50,56,"53.00"
"Restaurant_1297","Pune","Cafe",53,53,"53.00"
"Restaurant_1457","Pune","Cloud Kitchen",54,52,"53.00"
"Restaurant_537","Bangalore","Casual Dining",50,56,"53.00"
"Restaurant_789","Bangalore","Food Truck",54,52,"53.00"
"Restaurant_282","Mumbai","Cloud Kitchen",60,46,"53.00"
"Restaurant_1204","Delhi","Cafe",49,57,"53.00"
"Restaurant_287","Mumbai","Fine Dine",53,53,"53.00"
"Restaurant_1827","Chennai","Fine Dine",54,52,"53.00"
"Restaurant_1036","Delhi","Cloud Kitchen",54,52,"53.00"
"Restaurant_1566","Hyderabad","Cloud Kitchen",54,52,"53.00"
"Restaurant_1324","Pune","Cloud Kitchen",54,52,"53.00"
"Restaurant_850","Bangalore","Qsr (Quick Service)",55,51,"53.00"
"Restaurant_955","Delhi","Food Truck",47,59,"53.00"
"Restaurant_2365","Jaipur","Cafe",52,54,"53.00"
"Restaurant_1409","Pune","Food Truck",52,54,"53.00"
"Restaurant_1293","Pune","Food Truck",49,57,"53.00"
"Restaurant_1416","Pune","Cloud Kitchen",54,52,"53.00"
"Restaurant_133","Mumbai","Qsr (Quick Service)",58,48,"53.00"
"Restaurant_1419","Pune","Cafe",51,55,"53.00"
"Restaurant_889","Delhi","Cafe",53,53,"53.00"
"Restaurant_1525","Hyderabad","Cloud Kitchen",57,49,"53.00"
"Restaurant_2360","Jaipur","Cafe",49,57,"53.00"
"Restaurant_1701","Hyderabad","Cloud Kitchen",56,50,"53.00"
"Restaurant_1861","Chennai","Cafe",54,52,"53.00"
"Restaurant_2405","Lucknow","Fine Dine",51,55,"53.00"
"Restaurant_2150","Ahmedabad","Fine Dine",52,53,"52.50"
"Restaurant_605","Bangalore","Fine Dine",54,51,"52.50"
"Restaurant_2490","Lucknow","Fine Dine",54,51,"52.50"
"Restaurant_1874","Chennai","Fine Dine",47,58,"52.50"
"Restaurant_143","Mumbai","Cafe",52,53,"52.50"
"Restaurant_201","Mumbai","Fine Dine",50,55,"52.50"
"Restaurant_1565","Hyderabad","Cloud Kitchen",46,59,"52.50"
"Restaurant_806","Bangalore","Food Truck",55,50,"52.50"
"Restaurant_1288","Pune","Food Truck",53,52,"52.50"
"Restaurant_433","Mumbai","Qsr (Quick Service)",49,56,"52.50"
"Restaurant_422","Mumbai","Cloud Kitchen",52,53,"52.50"
"Restaurant_1918","Chennai","Casual Dining",54,51,"52.50"
"Restaurant_643","Bangalore","Casual Dining",58,47,"52.50"
"Restaurant_382","Mumbai","Cloud Kitchen",54,51,"52.50"
"Restaurant_2224","Ahmedabad","Fine Dine",46,59,"52.50"
"Restaurant_677","Bangalore","Fine Dine",53,52,"52.50"
"Restaurant_355","Mumbai","Qsr (Quick Service)",49,56,"52.50"
"Restaurant_1211","Delhi","Fine Dine",52,53,"52.50"
"Restaurant_353","Mumbai","Food Truck",52,53,"52.50"
"Restaurant_1469","Pune","Qsr (Quick Service)",55,50,"52.50"
"Restaurant_2356","Jaipur","Food Truck",58,47,"52.50"
"Restaurant_279","Mumbai","Qsr (Quick Service)",56,49,"52.50"
"Restaurant_2454","Lucknow","Food Truck",47,58,"52.50"
"Restaurant_2363","Jaipur","Qsr (Quick Service)",51,54,"52.50"
"Restaurant_778","Bangalore","Cafe",51,54,"52.50"
"Restaurant_1503","Hyderabad","Fine Dine",52,53,"52.50"
"Restaurant_83","Mumbai","Qsr (Quick Service)",49,56,"52.50"
"Restaurant_1710","Hyderabad","Fine Dine",52,53,"52.50"
"Restaurant_2117","Kolkata","Food Truck",54,51,"52.50"
"Restaurant_519","Bangalore","Cafe",53,52,"52.50"
"Restaurant_551","Bangalore","Fine Dine",57,48,"52.50"
"Restaurant_577","Bangalore","Casual Dining",53,51,"52.00"
"Restaurant_1069","Delhi","Casual Dining",51,53,"52.00"
"Restaurant_2316","Jaipur","Qsr (Quick Service)",50,54,"52.00"
"Restaurant_2018","Kolkata","Casual Dining",50,54,"52.00"
"Restaurant_1640","Hyderabad","Food Truck",47,57,"52.00"
"Restaurant_2306","Jaipur","Qsr (Quick Service)",48,56,"52.00"
"Restaurant_167","Mumbai","Fine Dine",52,52,"52.00"
"Restaurant_270","Mumbai","Cafe",58,46,"52.00"
"Restaurant_1342","Pune","Cloud Kitchen",50,54,"52.00"
"Restaurant_685","Bangalore","Casual Dining",50,54,"52.00"
"Restaurant_718","Bangalore","Cloud Kitchen",53,51,"52.00"
"Restaurant_828","Bangalore","Cloud Kitchen",54,50,"52.00"
"Restaurant_272","Mumbai","Qsr (Quick Service)",53,51,"52.00"
"Restaurant_1173","Delhi","Qsr (Quick Service)",48,56,"52.00"
"Restaurant_1637","Hyderabad","Qsr (Quick Service)",56,48,"52.00"
"Restaurant_196","Mumbai","Qsr (Quick Service)",52,52,"52.00"
"Restaurant_1813","Chennai","Casual Dining",57,47,"52.00"
"Restaurant_2086","Kolkata","Cloud Kitchen",46,58,"52.00"
"Restaurant_2355","Jaipur","Cafe",55,49,"52.00"
"Restaurant_681","Bangalore","Casual Dining",51,53,"52.00"
"Restaurant_1776","Chennai","Fine Dine",48,56,"52.00"
"Restaurant_342","Mumbai","Fine Dine",49,55,"52.00"
"Restaurant_870","Bangalore","Casual Dining",53,51,"52.00"
"Restaurant_1612","Hyderabad","Qsr (Quick Service)",47,57,"52.00"
"Restaurant_984","Delhi","Food Truck",52,51,"51.50"
"Restaurant_999","Delhi","Food Truck",56,47,"51.50"
"Restaurant_1769","Chennai","Cafe",54,49,"51.50"
"Restaurant_1657","Hyderabad","Qsr (Quick Service)",51,52,"51.50"
"Restaurant_1591","Hyderabad","Cafe",51,52,"51.50"
"Restaurant_2423","Lucknow","Food Truck",52,51,"51.50"
"Restaurant_168","Mumbai","Cloud Kitchen",56,47,"51.50"
"Restaurant_1520","Hyderabad","Qsr (Quick Service)",49,54,"51.50"
"Restaurant_306","Mumbai","Casual Dining",52,51,"51.50"
"Restaurant_2362","Jaipur","Casual Dining",48,55,"51.50"
"Restaurant_1489","Pune","Casual Dining",56,47,"51.50"
"Restaurant_1437","Pune","Casual Dining",47,56,"51.50"
"Restaurant_1877","Chennai","Cloud Kitchen",54,49,"51.50"
"Restaurant_1388","Pune","Casual Dining",50,53,"51.50"
"Restaurant_1368","Pune","Fine Dine",52,51,"51.50"
"Restaurant_507","Bangalore","Food Truck",54,49,"51.50"
"Restaurant_510","Bangalore","Cloud Kitchen",51,52,"51.50"
"Restaurant_1891","Chennai","Cloud Kitchen",56,47,"51.50"
"Restaurant_546","Bangalore","Cloud Kitchen",51,52,"51.50"
"Restaurant_575","Bangalore","Food Truck",54,49,"51.50"
"Restaurant_2238","Ahmedabad","Casual Dining",53,50,"51.50"
"Restaurant_1929","Chennai","Fine Dine",52,51,"51.50"
"Restaurant_1239","Delhi","Casual Dining",50,53,"51.50"
"Restaurant_2192","Ahmedabad","Casual Dining",49,54,"51.50"
"Restaurant_1192","Delhi","Food Truck",54,49,"51.50"
"Restaurant_2179","Ahmedabad","Fine Dine",54,49,"51.50"
"Restaurant_2174","Ahmedabad","Casual Dining",45,58,"51.50"
"Restaurant_777","Bangalore","Casual Dining",46,57,"51.50"
"Restaurant_2159","Ahmedabad","Casual Dining",52,51,"51.50"
"Restaurant_2135","Ahmedabad","Fine Dine",53,50,"51.50"
"Restaurant_2133","Ahmedabad","Cafe",53,50,"51.50"
"Restaurant_1994","Kolkata","Casual Dining",48,55,"51.50"
"Restaurant_17","Mumbai","Cloud Kitchen",48,55,"51.50"
"Restaurant_917","Delhi","Qsr (Quick Service)",52,51,"51.50"
"Restaurant_942","Delhi","Casual Dining",51,52,"51.50"
"Restaurant_1020","Delhi","Food Truck",56,47,"51.50"
"Restaurant_1417","Pune","Cafe",52,50,"51.00"
"Restaurant_384","Mumbai","Food Truck",55,47,"51.00"
"Restaurant_635","Bangalore","Qsr (Quick Service)",53,49,"51.00"
"Restaurant_443","Mumbai","Qsr (Quick Service)",47,55,"51.00"
"Restaurant_2435","Lucknow","Casual Dining",53,49,"51.00"
"Restaurant_2132","Ahmedabad","Fine Dine",50,52,"51.00"
"Restaurant_29","Mumbai","Casual Dining",48,54,"51.00"
"Restaurant_822","Bangalore","Cloud Kitchen",48,54,"51.00"
"Restaurant_1148","Delhi","Fine Dine",51,51,"51.00"
"Restaurant_2015","Kolkata","Qsr (Quick Service)",56,46,"51.00"
"Restaurant_902","Delhi","Fine Dine",51,51,"51.00"
"Restaurant_516","Bangalore","Fine Dine",56,46,"51.00"
"Restaurant_728","Bangalore","Food Truck",48,54,"51.00"
"Restaurant_2409","Lucknow","Qsr (Quick Service)",53,49,"51.00"
"Restaurant_58","Mumbai","Qsr (Quick Service)",58,44,"51.00"
"Restaurant_2108","Kolkata","Qsr (Quick Service)",48,54,"51.00"
"Restaurant_1546","Hyderabad","Cafe",54,48,"51.00"
"Restaurant_771","Bangalore","Food Truck",49,53,"51.00"
"Restaurant_702","Bangalore","Fine Dine",52,50,"51.00"
"Restaurant_1600","Hyderabad","Casual Dining",55,47,"51.00"
"Restaurant_735","Bangalore","Cloud Kitchen",52,50,"51.00"
"Restaurant_1906","Chennai","Fine Dine",55,47,"51.00"
"Restaurant_1515","Hyderabad","Cloud Kitchen",57,45,"51.00"
"Restaurant_247","Mumbai","Cloud Kitchen",51,51,"51.00"
"Restaurant_1223","Delhi","Fine Dine",50,52,"51.00"
"Restaurant_1279","Pune","Casual Dining",52,50,"51.00"
"Restaurant_1219","Delhi","Cloud Kitchen",52,50,"51.00"
"Restaurant_1547","Hyderabad","Cloud Kitchen",46,56,"51.00"
"Restaurant_2127","Ahmedabad","Casual Dining",50,52,"51.00"
"Restaurant_2463","Lucknow","Cloud Kitchen",49,53,"51.00"
"Restaurant_1426","Pune","Fine Dine",52,50,"51.00"
"Restaurant_1986","Kolkata","Cloud Kitchen",49,53,"51.00"
"Restaurant_1385","Pune","Casual Dining",50,51,"50.50"
"Restaurant_469","Bangalore","Qsr (Quick Service)",54,47,"50.50"
"Restaurant_1127","Delhi","Food Truck",53,48,"50.50"
"Restaurant_1033","Delhi","Qsr (Quick Service)",50,51,"50.50"
"Restaurant_626","Bangalore","Fine Dine",52,49,"50.50"
"Restaurant_379","Mumbai","Cloud Kitchen",49,52,"50.50"
"Restaurant_1079","Delhi","Fine Dine",46,55,"50.50"
"Restaurant_1810","Chennai","Qsr (Quick Service)",49,52,"50.50"
"Restaurant_385","Mumbai","Fine Dine",54,47,"50.50"
"Restaurant_206","Mumbai","Casual Dining",48,53,"50.50"
"Restaurant_1453","Pune","Cloud Kitchen",57,44,"50.50"
"Restaurant_1613","Hyderabad","Fine Dine",53,48,"50.50"
"Restaurant_448","Mumbai","Cafe",46,55,"50.50"
"Restaurant_529","Bangalore","Cloud Kitchen",50,51,"50.50"
"Restaurant_1418","Pune","Cloud Kitchen",48,53,"50.50"
"Restaurant_1185","Delhi","Cloud Kitchen",56,45,"50.50"
"Restaurant_1802","Chennai","Qsr (Quick Service)",55,46,"50.50"
"Restaurant_1267","Pune","Cloud Kitchen",53,48,"50.50"
"Restaurant_1834","Chennai","Cafe",53,48,"50.50"
"Restaurant_1528","Hyderabad","Fine Dine",46,55,"50.50"
"Restaurant_1690","Hyderabad","Fine Dine",50,51,"50.50"
"Restaurant_2412","Lucknow","Cloud Kitchen",50,51,"50.50"
"Restaurant_2446","Lucknow","Cloud Kitchen",45,56,"50.50"
"Restaurant_1593","Hyderabad","Cloud Kitchen",55,46,"50.50"
"Restaurant_911","Delhi","Cafe",51,50,"50.50"
"Restaurant_303","Mumbai","Casual Dining",46,55,"50.50"
"Restaurant_1162","Delhi","Cafe",44,57,"50.50"
"Restaurant_351","Mumbai","Casual Dining",48,53,"50.50"
"Restaurant_689","Bangalore","Cafe",51,50,"50.50"
"Restaurant_495","Bangalore","Cloud Kitchen",45,56,"50.50"
"Restaurant_900","Delhi","Casual Dining",55,46,"50.50"
"Restaurant_1107","Delhi","Cafe",50,51,"50.50"
"Restaurant_1840","Chennai","Casual Dining",48,53,"50.50"
"Restaurant_1882","Chennai","Cafe",49,52,"50.50"
"Restaurant_2170","Ahmedabad","Cafe",50,51,"50.50"
"Restaurant_1115","Delhi","Cafe",51,50,"50.50"
"Restaurant_763","Bangalore","Food Truck",53,47,"50.00"
"Restaurant_1165","Delhi","Food Truck",48,52,"50.00"
"Restaurant_795","Bangalore","Food Truck",48,52,"50.00"
"Restaurant_1651","Hyderabad","Qsr (Quick Service)",47,53,"50.00"
"Restaurant_535","Bangalore","Food Truck",45,55,"50.00"
"Restaurant_650","Bangalore","Cloud Kitchen",54,46,"50.00"
"Restaurant_180","Mumbai","Cloud Kitchen",53,47,"50.00"
"Restaurant_2046","Kolkata","Food Truck",55,45,"50.00"
"Restaurant_142","Mumbai","Qsr (Quick Service)",41,59,"50.00"
"Restaurant_1540","Hyderabad","Fine Dine",51,49,"50.00"
"Restaurant_2351","Jaipur","Fine Dine",55,45,"50.00"
"Restaurant_2045","Kolkata","Qsr (Quick Service)",43,57,"50.00"
"Restaurant_981","Delhi","Qsr (Quick Service)",42,58,"50.00"
"Restaurant_1569","Hyderabad","Food Truck",56,44,"50.00"
"Restaurant_2009","Kolkata","Qsr (Quick Service)",45,55,"50.00"
"Restaurant_2195","Ahmedabad","Cafe",50,50,"50.00"
"Restaurant_1291","Pune","Casual Dining",47,53,"50.00"
"Restaurant_26","Mumbai","Fine Dine",51,49,"50.00"
"Restaurant_130","Mumbai","Food Truck",48,52,"50.00"
"Restaurant_1407","Pune","Food Truck",50,50,"50.00"
"Restaurant_1842","Chennai","Casual Dining",52,48,"50.00"
"Restaurant_15","Mumbai","Qsr (Quick Service)",52,48,"50.00"
"Restaurant_835","Bangalore","Casual Dining",59,41,"50.00"
"Restaurant_1791","Chennai","Qsr (Quick Service)",51,48,"49.50"
"Restaurant_1914","Chennai","Cafe",48,51,"49.50"
"Restaurant_1795","Chennai","Casual Dining",51,48,"49.50"
"Restaurant_600","Bangalore","Qsr (Quick Service)",47,52,"49.50"
"Restaurant_1312","Pune","Qsr (Quick Service)",48,51,"49.50"
"Restaurant_1049","Delhi","Fine Dine",50,49,"49.50"
"Restaurant_1057","Delhi","Cloud Kitchen",49,50,"49.50"
"Restaurant_1096","Delhi","Cloud Kitchen",51,48,"49.50"
"Restaurant_346","Mumbai","Cafe",54,45,"49.50"
"Restaurant_878","Delhi","Cafe",53,46,"49.50"
"Restaurant_42","Mumbai","Cloud Kitchen",44,55,"49.50"
"Restaurant_2476","Lucknow","Qsr (Quick Service)",50,49,"49.50"
"Restaurant_50","Mumbai","Fine Dine",54,45,"49.50"
"Restaurant_859","Bangalore","Fine Dine",44,55,"49.50"
"Restaurant_387","Mumbai","Fine Dine",52,47,"49.50"
