"restaurant_name","city","restaurant_type","swiggy_rev","zomato_rev","swiggy_lead_pct"
"Restaurant_580","Bangalore","Fine Dine",154662,126974,"21.0"
"Restaurant_609","Bangalore","Cloud Kitchen",290917,240049,"21.0"
"Restaurant_1036","Delhi","Cloud Kitchen",188230,154954,"21.0"
"Restaurant_1064","Delhi","Food Truck",120843,99111,"21.0"
"Restaurant_1101","Delhi","Cafe",151048,124519,"21.0"
"Restaurant_1555","Hyderabad","Food Truck",89663,73539,"21.0"
"Restaurant_1890","Chennai","Food Truck",38759,31845,"21.0"
"Restaurant_1920","Chennai","Qsr (Quick Service)",313815,258412,"21.0"
"Restaurant_2074","Kolkata","Qsr (Quick Service)",65608,54111,"21.0"
"Restaurant_2084","Kolkata","Cloud Kitchen",245159,201710,"21.0"
"Restaurant_2100","Kolkata","Food Truck",123775,102048,"21.0"
"Restaurant_2115","Kolkata","Casual Dining",310353,255237,"21.0"
"Restaurant_2171","Ahmedabad","Qsr (Quick Service)",186721,153102,"21.0"
"Restaurant_2398","Jaipur","Qsr (Quick Service)",201680,166098,"21.0"
"Restaurant_2468","Lucknow","Fine Dine",59158,48652,"21.0"
"Restaurant_471","Bangalore","Cloud Kitchen",184551,150146,"22.0"
"Restaurant_1386","Pune","Cafe",231938,189964,"22.0"
"Restaurant_1694","Hyderabad","Qsr (Quick Service)",105623,86100,"22.0"
"Restaurant_392","Mumbai","Qsr (Quick Service)",46742,38086,"22.0"
"Restaurant_58","Mumbai","Qsr (Quick Service)",242048,197358,"22.0"
"Restaurant_1816","Chennai","Casual Dining",71151,57950,"22.0"
"Restaurant_1517","Hyderabad","Fine Dine",113406,92214,"22.0"
"Restaurant_1777","Chennai","Fine Dine",37217,30340,"22.0"
"Restaurant_230","Mumbai","Food Truck",36410,29665,"22.0"
"Restaurant_1491","Pune","Cloud Kitchen",275031,224349,"22.0"
"Restaurant_509","Bangalore","Fine Dine",102680,83437,"23.0"
"Restaurant_2238","Ahmedabad","Casual Dining",149610,121080,"23.0"
"Restaurant_1478","Pune","Qsr (Quick Service)",207739,168213,"23.0"
"Restaurant_1327","Pune","Casual Dining",243786,198071,"23.0"
"Restaurant_1257","Pune","Casual Dining",151095,122040,"23.0"
"Restaurant_308","Mumbai","Cloud Kitchen",228541,185734,"23.0"
"Restaurant_175","Mumbai","Cloud Kitchen",205820,166842,"23.0"
"Restaurant_1205","Delhi","Qsr (Quick Service)",165244,133772,"23.0"
"Restaurant_1127","Delhi","Food Truck",55746,45248,"23.0"
"Restaurant_1124","Delhi","Fine Dine",179103,145459,"23.0"
"Restaurant_593","Bangalore","Cafe",93726,75776,"23.0"
"Restaurant_2427","Lucknow","Cloud Kitchen",187511,152141,"23.0"
"Restaurant_388","Mumbai","Qsr (Quick Service)",242846,197246,"23.0"
"Restaurant_2379","Jaipur","Qsr (Quick Service)",148274,119684,"23.0"
"Restaurant_910","Delhi","Fine Dine",70738,57252,"23.0"
"Restaurant_911","Delhi","Cafe",289621,234423,"23.0"
"Restaurant_1910","Chennai","Cloud Kitchen",190553,154677,"23.0"
"Restaurant_2358","Jaipur","Fine Dine",25948,20926,"23.0"
"Restaurant_280","Mumbai","Fine Dine",77110,62457,"23.0"
"Restaurant_2153","Ahmedabad","Qsr (Quick Service)",235252,190379,"23.0"
"Restaurant_2477","Lucknow","Food Truck",42134,34213,"23.0"
"Restaurant_2193","Ahmedabad","Cloud Kitchen",247940,199290,"24.0"
"Restaurant_2076","Kolkata","Qsr (Quick Service)",32270,25950,"24.0"
"Restaurant_2433","Lucknow","Cafe",155196,125107,"24.0"
"Restaurant_2367","Jaipur","Cafe",117196,94348,"24.0"
"Restaurant_186","Mumbai","Food Truck",154287,123984,"24.0"
"Restaurant_803","Bangalore","Cloud Kitchen",49249,39417,"24.0"
"Restaurant_847","Bangalore","Casual Dining",206462,165596,"24.0"
"Restaurant_929","Delhi","Food Truck",76003,61273,"24.0"
"Restaurant_1078","Delhi","Food Truck",103494,83089,"24.0"
"Restaurant_360","Mumbai","Cloud Kitchen",124687,100177,"24.0"
"Restaurant_1153","Delhi","Cloud Kitchen",160887,128930,"24.0"
"Restaurant_2304","Jaipur","Cafe",66502,53484,"24.0"
"Restaurant_1273","Pune","Cafe",187434,151025,"24.0"
"Restaurant_1323","Pune","Food Truck",67797,54654,"24.0"
"Restaurant_2486","Lucknow","Qsr (Quick Service)",35433,28373,"24.0"
"Restaurant_1560","Hyderabad","Food Truck",70785,56866,"24.0"
"Restaurant_1634","Hyderabad","Qsr (Quick Service)",104934,84615,"24.0"
"Restaurant_2159","Ahmedabad","Casual Dining",87801,70780,"24.0"
"Restaurant_1705","Hyderabad","Cloud Kitchen",261561,209919,"24.0"
"Restaurant_1766","Chennai","Cloud Kitchen",292131,234178,"24.0"
"Restaurant_1858","Chennai","Fine Dine",35825,28830,"24.0"
"Restaurant_1877","Chennai","Cloud Kitchen",278333,223604,"24.0"
"Restaurant_2123","Ahmedabad","Fine Dine",132410,105960,"24.0"
"Restaurant_2092","Kolkata","Fine Dine",166710,132428,"25.0"
"Restaurant_12","Mumbai","Food Truck",122474,97832,"25.0"
"Restaurant_765","Bangalore","Cafe",131155,104280,"25.0"
"Restaurant_1685","Hyderabad","Qsr (Quick Service)",34199,27246,"25.0"
"Restaurant_2037","Kolkata","Fine Dine",238655,190133,"25.0"
"Restaurant_2295","Jaipur","Cafe",211859,168896,"25.0"
"Restaurant_618","Bangalore","Food Truck",102467,81973,"25.0"
"Restaurant_211","Mumbai","Qsr (Quick Service)",237944,188934,"25.0"
"Restaurant_1261","Pune","Cafe",162137,129125,"25.0"
"Restaurant_734","Bangalore","Food Truck",28620,22807,"25.0"
"Restaurant_1559","Hyderabad","Cloud Kitchen",404791,323604,"25.0"
"Restaurant_1325","Pune","Casual Dining",314793,250905,"25.0"
"Restaurant_1575","Hyderabad","Food Truck",136983,109207,"25.0"
"Restaurant_796","Bangalore","Casual Dining",263664,209733,"25.0"
"Restaurant_2113","Kolkata","Cloud Kitchen",55131,43775,"25.0"
"Restaurant_996","Delhi","Fine Dine",148470,117846,"25.0"
"Restaurant_19","Mumbai","Qsr (Quick Service)",30958,24640,"25.0"
"Restaurant_2319","Jaipur","Cafe",29168,23250,"25.0"
"Restaurant_1470","Pune","Qsr (Quick Service)",154808,122946,"25.0"
"Restaurant_1284","Pune","Food Truck",108411,85491,"26.0"
"Restaurant_1081","Delhi","Cafe",165040,130095,"26.0"
"Restaurant_418","Mumbai","Cafe",83753,66090,"26.0"
"Restaurant_1643","Hyderabad","Fine Dine",77970,61404,"26.0"
"Restaurant_592","Bangalore","Casual Dining",103862,81960,"26.0"
"Restaurant_2244","Ahmedabad","Food Truck",21213,16705,"26.0"
"Restaurant_1011","Delhi","Casual Dining",95980,76075,"26.0"
"Restaurant_2229","Ahmedabad","Casual Dining",110729,87207,"26.0"
"Restaurant_944","Delhi","Cafe",180423,143034,"26.0"
"Restaurant_890","Delhi","Casual Dining",252851,198369,"27.0"
"Restaurant_1048","Delhi","Cloud Kitchen",144458,112858,"27.0"
"Restaurant_436","Mumbai","Cafe",178508,140212,"27.0"
"Restaurant_1531","Hyderabad","Casual Dining",60403,47472,"27.0"
"Restaurant_1099","Delhi","Cloud Kitchen",291153,228407,"27.0"
"Restaurant_1332","Pune","Cloud Kitchen",362241,285077,"27.0"
"Restaurant_32","Mumbai","Cloud Kitchen",255038,200436,"27.0"
"Restaurant_1427","Pune","Cafe",215793,169196,"27.0"
"Restaurant_709","Bangalore","Cloud Kitchen",151365,118442,"27.0"
"Restaurant_1023","Delhi","Food Truck",36216,28427,"27.0"
"Restaurant_634","Bangalore","Cloud Kitchen",308582,241775,"27.0"
"Restaurant_1595","Hyderabad","Food Truck",28349,22084,"28.0"
"Restaurant_536","Bangalore","Cloud Kitchen",241311,188238,"28.0"
"Restaurant_1865","Chennai","Fine Dine",190530,148830,"28.0"
"Restaurant_451","Bangalore","Fine Dine",193450,150988,"28.0"
"Restaurant_1839","Chennai","Cafe",183621,143033,"28.0"
"Restaurant_2287","Jaipur","Qsr (Quick Service)",187345,145390,"28.0"
"Restaurant_1132","Delhi","Cloud Kitchen",210261,163811,"28.0"
"Restaurant_935","Delhi","Casual Dining",105070,81795,"28.0"
"Restaurant_2396","Jaipur","Food Truck",82262,64222,"28.0"
"Restaurant_1626","Hyderabad","Food Truck",93939,73032,"28.0"
"Restaurant_926","Delhi","Cafe",27200,20940,"29.0"
"Restaurant_797","Bangalore","Casual Dining",198871,154073,"29.0"
"Restaurant_25","Mumbai","Qsr (Quick Service)",198024,152650,"29.0"
"Restaurant_349","Mumbai","Food Truck",70880,54690,"29.0"
"Restaurant_577","Bangalore","Casual Dining",209149,161818,"29.0"
"Restaurant_1317","Pune","Casual Dining",111683,86444,"29.0"
"Restaurant_1401","Pune","Qsr (Quick Service)",175387,135694,"29.0"
"Restaurant_697","Bangalore","Casual Dining",168364,130291,"29.0"
"Restaurant_650","Bangalore","Cloud Kitchen",36570,28311,"29.0"
"Restaurant_1744","Chennai","Cloud Kitchen",335064,259251,"29.0"
"Restaurant_248","Mumbai","Cafe",67726,52129,"29.0"
"Restaurant_1781","Chennai","Casual Dining",330712,254888,"29.0"
"Restaurant_1845","Chennai","Qsr (Quick Service)",150845,116756,"29.0"
"Restaurant_957","Delhi","Fine Dine",84602,65171,"29.0"
"Restaurant_2469","Lucknow","Cloud Kitchen",265619,202998,"30.0"
"Restaurant_959","Delhi","Fine Dine",86546,66567,"30.0"
"Restaurant_905","Delhi","Casual Dining",166682,127244,"30.0"
"Restaurant_998","Delhi","Qsr (Quick Service)",249123,191432,"30.0"
"Restaurant_1256","Pune","Cafe",25092,19209,"30.0"
"Restaurant_1460","Pune","Qsr (Quick Service)",165312,126890,"30.0"
"Restaurant_631","Bangalore","Casual Dining",286008,219939,"30.0"
"Restaurant_1652","Hyderabad","Casual Dining",284043,218331,"30.0"
"Restaurant_2462","Lucknow","Cloud Kitchen",83624,63953,"30.0"
"Restaurant_1146","Delhi","Food Truck",95178,73179,"30.0"
"Restaurant_1745","Chennai","Cafe",100492,76748,"30.0"
"Restaurant_1164","Delhi","Food Truck",15836,12136,"30.0"
"Restaurant_1976","Kolkata","Food Truck",163036,124675,"30.0"
"Restaurant_1407","Pune","Food Truck",145363,111646,"30.0"
"Restaurant_482","Bangalore","Qsr (Quick Service)",264661,203218,"30.0"
"Restaurant_1072","Delhi","Cloud Kitchen",317503,242688,"30.0"
"Restaurant_717","Bangalore","Qsr (Quick Service)",284886,218712,"30.0"
"Restaurant_671","Bangalore","Cafe",192203,146673,"31.0"
"Restaurant_1973","Kolkata","Qsr (Quick Service)",188662,143959,"31.0"
"Restaurant_875","Delhi","Casual Dining",149549,113759,"31.0"
"Restaurant_1825","Chennai","Casual Dining",33583,25510,"31.0"
"Restaurant_2420","Lucknow","Casual Dining",133643,101261,"31.0"
"Restaurant_330","Mumbai","Qsr (Quick Service)",182149,138680,"31.0"
"Restaurant_2307","Jaipur","Fine Dine",55097,41892,"31.0"
"Restaurant_154","Mumbai","Food Truck",67590,51341,"31.0"
"Restaurant_98","Mumbai","Qsr (Quick Service)",207539,158054,"31.0"
"Restaurant_2052","Kolkata","Casual Dining",83952,63622,"31.0"
"Restaurant_1630","Hyderabad","Food Truck",95172,72298,"31.0"
"Restaurant_2202","Ahmedabad","Qsr (Quick Service)",65229,49311,"32.0"
"Restaurant_135","Mumbai","Food Truck",120989,91207,"32.0"
"Restaurant_151","Mumbai","Casual Dining",87688,65952,"32.0"
"Restaurant_1200","Delhi","Casual Dining",312208,236301,"32.0"
"Restaurant_1682","Hyderabad","Cloud Kitchen",226988,170791,"32.0"
"Restaurant_1898","Chennai","Casual Dining",285675,215780,"32.0"
"Restaurant_2286","Jaipur","Fine Dine",40232,30363,"32.0"
"Restaurant_1752","Chennai","Cloud Kitchen",367479,277636,"32.0"
"Restaurant_1224","Delhi","Cafe",183352,137782,"33.0"
"Restaurant_2383","Jaipur","Casual Dining",250166,187137,"33.0"
"Restaurant_1297","Pune","Cafe",92527,69545,"33.0"
"Restaurant_2101","Kolkata","Casual Dining",42763,31935,"33.0"
"Restaurant_113","Mumbai","Qsr (Quick Service)",161213,119978,"34.0"
"Restaurant_1880","Chennai","Qsr (Quick Service)",164150,122322,"34.0"
"Restaurant_134","Mumbai","Fine Dine",118288,87940,"34.0"
"Restaurant_1656","Hyderabad","Fine Dine",31963,23743,"34.0"
"Restaurant_401","Mumbai","Cloud Kitchen",334474,249076,"34.0"
"Restaurant_625","Bangalore","Cafe",186091,137777,"35.0"
"Restaurant_414","Mumbai","Food Truck",142145,105265,"35.0"
"Restaurant_238","Mumbai","Food Truck",158769,117027,"35.0"
"Restaurant_1061","Delhi","Cloud Kitchen",286971,212076,"35.0"
"Restaurant_1025","Delhi","Fine Dine",194518,143021,"36.0"
"Restaurant_1502","Hyderabad","Cafe",32614,23849,"36.0"
"Restaurant_1115","Delhi","Cafe",214415,157476,"36.0"
"Restaurant_1131","Delhi","Qsr (Quick Service)",78470,57623,"36.0"
"Restaurant_982","Delhi","Casual Dining",272432,197608,"37.0"
"Restaurant_1169","Delhi","Qsr (Quick Service)",81453,59330,"37.0"
"Restaurant_2019","Kolkata","Qsr (Quick Service)",220376,160059,"37.0"
"Restaurant_136","Mumbai","Casual Dining",146063,106335,"37.0"
"Restaurant_1721","Hyderabad","Qsr (Quick Service)",249775,179980,"38.0"
"Restaurant_2340","Jaipur","Cloud Kitchen",52318,37749,"38.0"
"Restaurant_1246","Delhi","Fine Dine",88816,64345,"38.0"
"Restaurant_1554","Hyderabad","Casual Dining",38966,28204,"38.0"
"Restaurant_1926","Chennai","Fine Dine",148754,106851,"39.0"
"Restaurant_2491","Lucknow","Cloud Kitchen",379905,273238,"39.0"
"Restaurant_1667","Hyderabad","Cafe",211721,151507,"39.0"
"Restaurant_975","Delhi","Qsr (Quick Service)",195153,139522,"39.0"
"Restaurant_2058","Kolkata","Food Truck",94227,66867,"40.0"
"Restaurant_613","Bangalore","Cafe",29376,20923,"40.0"
"Restaurant_1939","Chennai","Food Truck",45400,32233,"40.0"
"Restaurant_949","Delhi","Casual Dining",64826,46304,"40.0"
"Restaurant_1168","Delhi","Fine Dine",79358,56212,"41.0"
"Restaurant_683","Bangalore","Qsr (Quick Service)",215344,150632,"42.0"
"Restaurant_1262","Pune","Qsr (Quick Service)",208661,146678,"42.0"
"Restaurant_1176","Delhi","Casual Dining",150817,105701,"42.0"
"Restaurant_1983","Kolkata","Cloud Kitchen",277536,195076,"42.0"
"Restaurant_398","Mumbai","Casual Dining",333807,234781,"42.0"
"Restaurant_364","Mumbai","Cafe",172992,120926,"43.0"
"Restaurant_1489","Pune","Casual Dining",160462,111561,"43.0"
"Restaurant_2247","Ahmedabad","Food Truck",128484,88042,"45.0"
"Restaurant_2253","Ahmedabad","Fine Dine",112786,76972,"46.0"
"Restaurant_553","Bangalore","Fine Dine",40795,26318,"55.0"
"Restaurant_1628","Hyderabad","Casual Dining",161591,96512,"67.0"
