"restaurant_type","swiggy_platform_commission_pct","avg_swiggy_profit","zomato_platform_commission_pct","avg_zomato_profit","restaurants"
"Casual Dining",20,"115096",23,"112315","8"
"Casual Dining",21,"175960",17,"176245","5"
"Casual Dining",21,"113806",18,"111168","11"
"Casual Dining",21,"110421",19,"107917","15"
"Casual Dining",21,"105666",20,"110521","11"
"Casual Dining",21,"108695",21,"115309","12"
"Casual Dining",21,"145962",22,"137371","10"
"Casual Dining",21,"116232",23,"114463","4"
"Casual Dining",22,"75932",17,"71882","3"
"Casual Dining",22,"170880",18,"177515","8"
"Casual Dining",22,"122308",19,"125256","14"
"Casual Dining",22,"156603",20,"134815","7"
"Casual Dining",22,"96777",21,"92978","10"
"Casual Dining",22,"129851",22,"118044","10"
"Casual Dining",22,"100658",23,"96445","5"
"Casual Dining",23,"55171",17,"65485","4"
"Casual Dining",23,"123069",18,"134640","5"
"Casual Dining",23,"132878",19,"139560","6"
"Casual Dining",23,"144888",20,"147695","7"
"Casual Dining",23,"123894",21,"135439","8"
"Casual Dining",23,"166616",22,"169328","5"
"Casual Dining",23,"250541",23,"249112","3"
"Cloud Kitchen",22,"291641",22,"259499","5"
"Cloud Kitchen",22,"190840",23,"178396","9"
"Cloud Kitchen",22,"139332",24,"136067","6"
"Cloud Kitchen",22,"35849",25,"40584","1"
"Cloud Kitchen",22,"187959",26,"180515","6"
"Cloud Kitchen",22,"257252",27,"241986","6"
"Cloud Kitchen",22,"164691",28,"148360","2"
"Cloud Kitchen",23,"123991",22,"127778","3"
"Cloud Kitchen",23,"201234",23,"210937","12"
"Cloud Kitchen",23,"187135",24,"210246","7"
"Cloud Kitchen",23,"182734",25,"195800","6"
"Cloud Kitchen",23,"147129",26,"134827","19"
"Cloud Kitchen",23,"207846",27,"197733","17"
"Cloud Kitchen",23,"296376",28,"275416","5"
"Cloud Kitchen",24,"159770",22,"206919","3"
"Cloud Kitchen",24,"164124",23,"159078","17"
"Cloud Kitchen",24,"147319",24,"160288","16"
"Cloud Kitchen",24,"227205",25,"226092","17"
"Cloud Kitchen",24,"125930",26,"105937","7"
"Cloud Kitchen",24,"182981",27,"198661","11"
"Cloud Kitchen",24,"266958",28,"244210","5"
"Cloud Kitchen",25,"129292",22,"135636","5"
"Cloud Kitchen",25,"256575",23,"262652","6"
"Cloud Kitchen",25,"220909",24,"208265","10"
"Cloud Kitchen",25,"197950",25,"225645","11"
"Cloud Kitchen",25,"137748",26,"147549","14"
"Cloud Kitchen",25,"143762",27,"153550","16"
"Cloud Kitchen",25,"170749",28,"161048","7"
"Cloud Kitchen",26,"169119",22,"171687","11"
"Cloud Kitchen",26,"123852",23,"138954","14"
"Cloud Kitchen",26,"186772",24,"202215","9"
"Cloud Kitchen",26,"208869",25,"201814","10"
"Cloud Kitchen",26,"169842",26,"167320","11"
"Cloud Kitchen",26,"140466",27,"143385","11"
"Cloud Kitchen",26,"153562",28,"149280","7"
"Cloud Kitchen",27,"100310",22,"111283","5"
"Cloud Kitchen",27,"201646",23,"208879","11"
"Cloud Kitchen",27,"164222",24,"176462","13"
"Cloud Kitchen",27,"166713",25,"168699","13"
"Cloud Kitchen",27,"151133",26,"151947","7"
"Cloud Kitchen",27,"131164",27,"130959","14"
"Cloud Kitchen",27,"144775",28,"134045","3"
"Cloud Kitchen",28,"166245",22,"150623","4"
"Cloud Kitchen",28,"194304",23,"204264","6"
"Cloud Kitchen",28,"185948",24,"174953","2"
"Cloud Kitchen",28,"173045",25,"176028","9"
"Cloud Kitchen",28,"131418",26,"144568","8"
"Cloud Kitchen",28,"145772",27,"142395","2"
"Cloud Kitchen",28,"207064",28,"216495","7"
"Fine Dine",12,"176734",12,"162284","1"
"Fine Dine",12,"129707",13,"129741","6"
"Fine Dine",12,"85238",14,"75786","2"
"Fine Dine",12,"117001",15,"102401","7"
"Fine Dine",12,"69070",16,"68139","4"
"Fine Dine",12,"84445",17,"83936","4"
"Fine Dine",12,"28030",18,"20608","1"
"Fine Dine",13,"91868",12,"85044","4"
"Fine Dine",13,"142896",13,"142520","10"
"Fine Dine",13,"81664",14,"84848","10"
"Fine Dine",13,"143209",15,"160099","4"
"Fine Dine",13,"116611",16,"106081","15"
"Fine Dine",13,"115716",17,"110160","14"
"Fine Dine",13,"115891",18,"103964","6"
"Fine Dine",14,"86668",12,"88693","3"
"Fine Dine",14,"118205",13,"112936","20"
"Fine Dine",14,"95241",14,"99935","11"
"Fine Dine",14,"75880",15,"75187","9"
"Fine Dine",14,"82246",16,"84516","9"
"Fine Dine",14,"104601",17,"101322","11"
"Fine Dine",14,"88858",18,"94277","8"
"Fine Dine",15,"117457",12,"131797","9"
"Fine Dine",15,"95416",13,"94632","12"
"Fine Dine",15,"120177",14,"110018","14"
"Fine Dine",15,"90375",15,"96041","15"
"Fine Dine",15,"111238",16,"109374","13"
"Fine Dine",15,"109277",17,"106417","16"
"Fine Dine",15,"103307",18,"89806","6"
"Fine Dine",16,"129528",12,"135652","3"
"Fine Dine",16,"105594",13,"112169","11"
"Fine Dine",16,"80692",14,"78924","13"
"Fine Dine",16,"112402",15,"115564","14"
"Fine Dine",16,"98348",16,"98304","12"
"Fine Dine",16,"124046",17,"126344","14"
"Fine Dine",16,"79023",18,"90815","5"
"Fine Dine",17,"96210",12,"102568","10"
"Fine Dine",17,"89827",13,"94347","10"
"Fine Dine",17,"106865",14,"105663","9"
"Fine Dine",17,"93689",15,"99390","12"
"Fine Dine",17,"91886",16,"97232","15"
"Fine Dine",17,"79402",17,"84466","13"
"Fine Dine",17,"122005",18,"118560","9"
"Fine Dine",18,"107270",12,"109753","5"
"Fine Dine",18,"100593",13,"101619","4"
"Fine Dine",18,"75319",14,"69375","5"
"Fine Dine",18,"60405",15,"67152","6"
"Fine Dine",18,"108909",16,"111105","5"
"Fine Dine",18,"86001",17,"87013","12"
"Fine Dine",18,"132398",18,"148729","3"
"Food Truck",17,"78589",17,"86618","4"
"Food Truck",17,"106433",18,"103339","5"
"Food Truck",17,"92343",19,"98333","2"
"Food Truck",17,"49681",20,"48590","8"
"Food Truck",17,"92370",21,"91479","6"
"Food Truck",17,"92607",22,"73928","4"
"Food Truck",17,"118648",23,"104490","1"
"Food Truck",18,"79996",17,"79639","7"
"Food Truck",18,"68087",18,"67400","10"
"Food Truck",18,"80476",19,"80219","17"
"Food Truck",18,"65507",20,"59918","10"
"Food Truck",18,"48599",21,"49634","9"
"Food Truck",18,"72268",22,"65190","8"
"Food Truck",18,"84727",23,"79239","6"
"Food Truck",19,"69691",17,"70676","6"
"Food Truck",19,"84264",18,"82781","15"
"Food Truck",19,"77839",19,"79862","9"
"Food Truck",19,"62022",20,"63920","13"
"Food Truck",19,"63191",21,"64856","17"
"Food Truck",19,"64268",22,"63838","14"
"Food Truck",19,"81048",23,"72390","3"
"Food Truck",20,"38072",17,"40265","8"
"Food Truck",20,"62360",18,"65428","16"
"Food Truck",20,"88105",19,"90852","11"
"Food Truck",20,"78831",20,"74002","15"
"Food Truck",20,"82862",21,"82767","9"
"Food Truck",20,"96591",22,"95455","10"
"Food Truck",20,"71829",23,"69042","8"
"Food Truck",21,"77984",17,"76083","4"
"Food Truck",21,"89188",18,"86382","9"
"Food Truck",21,"78669",19,"78717","13"
"Food Truck",21,"70280",20,"74672","12"
"Food Truck",21,"66255",21,"67594","15"
"Food Truck",21,"47227",22,"43855","10"
"Food Truck",21,"92715",23,"92437","7"
"Food Truck",22,"48898",17,"54802","6"
"Food Truck",22,"89439",18,"97990","13"
"Food Truck",22,"70446",19,"71974","12"
"Food Truck",22,"58527",20,"63703","7"
"Food Truck",22,"62255",21,"60790","9"
"Food Truck",22,"75090",22,"82099","11"
"Food Truck",22,"98257",23,"96244","6"
"Food Truck",23,"137561",17,"166974","1"
"Food Truck",23,"52301",18,"52546","9"
"Food Truck",23,"93032",19,"96695","10"
"Food Truck",23,"66344",20,"75638","5"
"Food Truck",23,"78675",21,"82989","10"
"Food Truck",23,"114388",22,"108879","4"
"Food Truck",23,"66672",23,"85113","1"
"Qsr (Quick Service)",17,"158994",17,"160476","3"
"Qsr (Quick Service)",17,"117349",18,"131455","3"
"Qsr (Quick Service)",17,"154963",20,"145142","7"
"Qsr (Quick Service)",17,"213800",21,"204472","3"
"Qsr (Quick Service)",17,"147460",22,"131144","6"
"Qsr (Quick Service)",17,"113871",23,"112050","2"
"Qsr (Quick Service)",18,"188026",17,"188886","4"
"Qsr (Quick Service)",18,"168751",18,"164152","16"
"Qsr (Quick Service)",18,"149612",19,"152811","9"
"Qsr (Quick Service)",18,"176392",20,"161855","7"
"Qsr (Quick Service)",18,"136567",21,"154809","6"
"Qsr (Quick Service)",18,"132603",22,"134904","12"
"Qsr (Quick Service)",18,"156216",23,"136017","5"
"Qsr (Quick Service)",19,"113853",17,"105730","4"
"Qsr (Quick Service)",19,"148419",18,"165798","8"
"Qsr (Quick Service)",19,"124452",19,"128919","10"
"Qsr (Quick Service)",19,"166853",20,"169571","11"
"Qsr (Quick Service)",19,"144544",21,"121436","8"
"Qsr (Quick Service)",19,"176385",22,"172160","18"
"Qsr (Quick Service)",19,"142755",23,"119888","4"
"Qsr (Quick Service)",20,"94750",17,"89441","11"
"Qsr (Quick Service)",20,"133266",18,"125538","13"
"Qsr (Quick Service)",20,"155484",19,"160879","16"
"Qsr (Quick Service)",20,"122868",20,"124002","11"
"Qsr (Quick Service)",20,"148543",21,"148176","17"
"Qsr (Quick Service)",20,"178382",22,"181916","8"
"Qsr (Quick Service)",20,"154504",23,"164145","11"
"Qsr (Quick Service)",21,"128606",17,"132938","3"
"Qsr (Quick Service)",21,"116680",18,"114822","17"
"Qsr (Quick Service)",21,"171994",19,"177803","10"
"Qsr (Quick Service)",21,"158351",20,"171307","15"
"Qsr (Quick Service)",21,"138505",21,"144897","16"
"Qsr (Quick Service)",21,"138034",22,"132041","10"
"Qsr (Quick Service)",21,"172515",23,"157688","4"
"Qsr (Quick Service)",22,"99488",17,"111032","8"
"Qsr (Quick Service)",22,"119965",18,"129828","13"
"Qsr (Quick Service)",22,"119282",19,"128389","8"
"Qsr (Quick Service)",22,"140615",20,"153273","7"
"Qsr (Quick Service)",22,"168310",21,"173243","14"
"Qsr (Quick Service)",22,"144601",22,"136482","13"
"Qsr (Quick Service)",22,"142690",23,"154691","12"
"Qsr (Quick Service)",23,"21550",17,"20869","1"
"Qsr (Quick Service)",23,"187250",18,"184458","4"
"Qsr (Quick Service)",23,"132974",19,"145428","6"
"Qsr (Quick Service)",23,"160936",20,"156469","7"
"Qsr (Quick Service)",23,"173235",21,"180529","7"
"Qsr (Quick Service)",23,"149542",22,"151114","5"
"Qsr (Quick Service)",23,"215574",23,"184778","1"
