"restaurant_name","city","restaurant_type","swiggy_rating","zomato_rating","rating_gap","better_rated"
"Restaurant_1829","Chennai","Fine Dine","3.5","4.9","1.4","Zomato higher"
"Restaurant_88","Mumbai","Cloud Kitchen","3.6","5.0","1.4","Zomato higher"
"Restaurant_435","Mumbai","Cloud Kitchen","3.3","4.7","1.4","Zomato higher"
"Restaurant_1179","Delhi","Qsr (Quick Service)","3.6","4.9","1.3","Zomato higher"
"Restaurant_2139","Ahmedabad","Fine Dine","3.4","4.7","1.3","Zomato higher"
"Restaurant_655","Bangalore","Cafe","3.2","4.5","1.3","Zomato higher"
"Restaurant_2383","Jaipur","Casual Dining","4.7","3.4","1.3","Swiggy higher"
"Restaurant_1778","Chennai","Fine Dine","3.4","4.7","1.3","Zomato higher"
"Restaurant_1262","Pune","Qsr (Quick Service)","5.0","3.7","1.3","Swiggy higher"
"Restaurant_398","Mumbai","Casual Dining","5.0","3.7","1.3","Swiggy higher"
"Restaurant_376","Mumbai","Food Truck","3.7","5.0","1.3","Zomato higher"
"Restaurant_315","Mumbai","Fine Dine","3.5","4.8","1.3","Zomato higher"
"Restaurant_229","Mumbai","Casual Dining","3.0","4.3","1.3","Zomato higher"
"Restaurant_625","Bangalore","Cafe","4.8","3.5","1.3","Swiggy higher"
"Restaurant_683","Bangalore","Qsr (Quick Service)","4.6","3.3","1.3","Swiggy higher"
"Restaurant_381","Mumbai","Food Truck","3.3","4.6","1.3","Zomato higher"
"Restaurant_1489","Pune","Casual Dining","4.7","3.4","1.3","Swiggy higher"
"Restaurant_41","Mumbai","Cloud Kitchen","3.0","4.3","1.3","Zomato higher"
"Restaurant_2247","Ahmedabad","Food Truck","4.8","3.5","1.3","Swiggy higher"
"Restaurant_1709","Hyderabad","Food Truck","3.5","4.8","1.3","Zomato higher"
"Restaurant_2253","Ahmedabad","Fine Dine","4.0","2.7","1.3","Swiggy higher"
"Restaurant_1588","Hyderabad","Food Truck","3.3","4.6","1.3","Zomato higher"
"Restaurant_2353","Jaipur","Cafe","3.3","4.6","1.3","Zomato higher"
"Restaurant_2178","Ahmedabad","Casual Dining","2.9","4.2","1.3","Zomato higher"
"Restaurant_364","Mumbai","Cafe","4.3","3.0","1.3","Swiggy higher"
"Restaurant_1125","Delhi","Fine Dine","2.7","4.0","1.3","Zomato higher"
"Restaurant_949","Delhi","Casual Dining","4.2","3.0","1.2","Swiggy higher"
"Restaurant_2000","Kolkata","Food Truck","3.5","4.7","1.2","Zomato higher"
"Restaurant_1486","Pune","Food Truck","2.9","4.1","1.2","Zomato higher"
"Restaurant_935","Delhi","Casual Dining","4.8","3.6","1.2","Swiggy higher"
"Restaurant_1307","Pune","Food Truck","3.5","4.7","1.2","Zomato higher"
"Restaurant_1402","Pune","Casual Dining","3.4","4.6","1.2","Zomato higher"
"Restaurant_2232","Ahmedabad","Food Truck","3.4","4.6","1.2","Zomato higher"
"Restaurant_2340","Jaipur","Cloud Kitchen","4.5","3.3","1.2","Swiggy higher"
"Restaurant_1099","Delhi","Cloud Kitchen","4.7","3.5","1.2","Swiggy higher"
"Restaurant_1131","Delhi","Qsr (Quick Service)","4.2","3.0","1.2","Swiggy higher"
"Restaurant_1738","Hyderabad","Qsr (Quick Service)","3.0","4.2","1.2","Zomato higher"
"Restaurant_492","Bangalore","Casual Dining","3.8","5.0","1.2","Zomato higher"
"Restaurant_2004","Kolkata","Fine Dine","3.7","4.9","1.2","Zomato higher"
"Restaurant_401","Mumbai","Cloud Kitchen","4.7","3.5","1.2","Swiggy higher"
"Restaurant_399","Mumbai","Casual Dining","3.1","4.3","1.2","Zomato higher"
"Restaurant_1714","Hyderabad","Qsr (Quick Service)","3.5","4.7","1.2","Zomato higher"
"Restaurant_2058","Kolkata","Food Truck","4.8","3.6","1.2","Swiggy higher"
"Restaurant_1864","Chennai","Fine Dine","3.8","5.0","1.2","Zomato higher"
"Restaurant_1926","Chennai","Fine Dine","4.7","3.5","1.2","Swiggy higher"
"Restaurant_42","Mumbai","Cloud Kitchen","3.2","4.4","1.2","Zomato higher"
"Restaurant_719","Bangalore","Cafe","3.3","4.5","1.2","Zomato higher"
"Restaurant_549","Bangalore","Cloud Kitchen","3.2","4.4","1.2","Zomato higher"
"Restaurant_2019","Kolkata","Qsr (Quick Service)","4.9","3.7","1.2","Swiggy higher"
"Restaurant_530","Bangalore","Casual Dining","3.4","4.6","1.2","Zomato higher"
"Restaurant_331","Mumbai","Cloud Kitchen","3.4","4.6","1.2","Zomato higher"
"Restaurant_1119","Delhi","Fine Dine","3.6","4.8","1.2","Zomato higher"
"Restaurant_414","Mumbai","Food Truck","4.3","3.1","1.2","Swiggy higher"
"Restaurant_1169","Delhi","Qsr (Quick Service)","4.4","3.2","1.2","Swiggy higher"
"Restaurant_4","Mumbai","Cloud Kitchen","3.3","4.5","1.2","Zomato higher"
"Restaurant_1172","Delhi","Qsr (Quick Service)","3.8","5.0","1.2","Zomato higher"
"Restaurant_1671","Hyderabad","Cloud Kitchen","3.6","4.8","1.2","Zomato higher"
"Restaurant_982","Delhi","Casual Dining","4.9","3.7","1.2","Swiggy higher"
"Restaurant_1176","Delhi","Casual Dining","4.0","2.8","1.2","Swiggy higher"
"Restaurant_613","Bangalore","Cafe","4.3","3.1","1.2","Swiggy higher"
"Restaurant_1667","Hyderabad","Cafe","4.5","3.3","1.2","Swiggy higher"
"Restaurant_1275","Pune","Cafe","3.1","4.3","1.2","Zomato higher"
"Restaurant_1188","Delhi","Fine Dine","3.5","4.7","1.2","Zomato higher"
"Restaurant_2491","Lucknow","Cloud Kitchen","4.6","3.4","1.2","Swiggy higher"
"Restaurant_2186","Ahmedabad","Casual Dining","3.4","4.6","1.2","Zomato higher"
"Restaurant_1460","Pune","Qsr (Quick Service)","4.6","3.4","1.2","Swiggy higher"
"Restaurant_1407","Pune","Food Truck","4.5","3.3","1.2","Swiggy higher"
"Restaurant_238","Mumbai","Food Truck","4.8","3.6","1.2","Swiggy higher"
"Restaurant_944","Delhi","Cafe","4.9","3.7","1.2","Swiggy higher"
"Restaurant_186","Mumbai","Food Truck","4.9","3.8","1.1","Swiggy higher"
"Restaurant_2307","Jaipur","Fine Dine","4.3","3.2","1.1","Swiggy higher"
"Restaurant_1684","Hyderabad","Food Truck","2.8","3.9","1.1","Zomato higher"
"Restaurant_1554","Hyderabad","Casual Dining","4.6","3.5","1.1","Swiggy higher"
"Restaurant_1781","Chennai","Casual Dining","4.6","3.5","1.1","Swiggy higher"
"Restaurant_2492","Lucknow","Cloud Kitchen","3.8","4.9","1.1","Zomato higher"
"Restaurant_1825","Chennai","Casual Dining","4.4","3.3","1.1","Swiggy higher"
"Restaurant_959","Delhi","Fine Dine","4.4","3.3","1.1","Swiggy higher"
"Restaurant_1168","Delhi","Fine Dine","4.2","3.1","1.1","Swiggy higher"
"Restaurant_132","Mumbai","Qsr (Quick Service)","3.3","4.4","1.1","Zomato higher"
"Restaurant_1115","Delhi","Cafe","4.5","3.4","1.1","Swiggy higher"
"Restaurant_1196","Delhi","Qsr (Quick Service)","2.7","3.8","1.1","Zomato higher"
"Restaurant_1956","Kolkata","Food Truck","3.5","4.6","1.1","Zomato higher"
"Restaurant_1108","Delhi","Qsr (Quick Service)","3.3","4.4","1.1","Zomato higher"
"Restaurant_1302","Pune","Casual Dining","3.1","4.2","1.1","Zomato higher"
"Restaurant_1364","Pune","Food Truck","3.3","4.4","1.1","Zomato higher"
"Restaurant_2227","Ahmedabad","Cafe","3.1","4.2","1.1","Zomato higher"
"Restaurant_1427","Pune","Cafe","4.7","3.6","1.1","Swiggy higher"
"Restaurant_136","Mumbai","Casual Dining","4.5","3.4","1.1","Swiggy higher"
"Restaurant_1560","Hyderabad","Food Truck","4.5","3.4","1.1","Swiggy higher"
"Restaurant_1317","Pune","Casual Dining","4.5","3.4","1.1","Swiggy higher"
"Restaurant_858","Bangalore","Cafe","3.2","4.3","1.1","Zomato higher"
"Restaurant_2446","Lucknow","Cloud Kitchen","3.2","4.3","1.1","Zomato higher"
"Restaurant_2160","Ahmedabad","Qsr (Quick Service)","3.7","4.8","1.1","Zomato higher"
"Restaurant_1439","Pune","Cafe","3.1","4.2","1.1","Zomato higher"
"Restaurant_1502","Hyderabad","Cafe","4.4","3.3","1.1","Swiggy higher"
"Restaurant_14","Mumbai","Cloud Kitchen","3.6","4.7","1.1","Zomato higher"
"Restaurant_2481","Lucknow","Food Truck","3.4","4.5","1.1","Zomato higher"
"Restaurant_522","Bangalore","Cloud Kitchen","3.0","4.1","1.1","Zomato higher"
"Restaurant_249","Mumbai","Cafe","3.3","4.4","1.1","Zomato higher"
"Restaurant_2086","Kolkata","Cloud Kitchen","3.9","5.0","1.1","Zomato higher"
"Restaurant_827","Bangalore","Cafe","3.0","4.1","1.1","Zomato higher"
"Restaurant_1021","Delhi","Food Truck","3.4","4.5","1.1","Zomato higher"
"Restaurant_1939","Chennai","Food Truck","4.2","3.1","1.1","Swiggy higher"
"Restaurant_1817","Chennai","Cloud Kitchen","3.6","4.7","1.1","Zomato higher"
"Restaurant_1291","Pune","Casual Dining","3.7","4.8","1.1","Zomato higher"
"Restaurant_934","Delhi","Casual Dining","3.5","4.6","1.1","Zomato higher"
"Restaurant_1880","Chennai","Qsr (Quick Service)","4.5","3.4","1.1","Swiggy higher"
"Restaurant_135","Mumbai","Food Truck","4.5","3.4","1.1","Swiggy higher"
"Restaurant_577","Bangalore","Casual Dining","4.9","3.8","1.1","Swiggy higher"
"Restaurant_1350","Pune","Food Truck","3.3","4.4","1.1","Zomato higher"
"Restaurant_330","Mumbai","Qsr (Quick Service)","4.8","3.7","1.1","Swiggy higher"
"Restaurant_536","Bangalore","Cloud Kitchen","4.8","3.7","1.1","Swiggy higher"
"Restaurant_482","Bangalore","Qsr (Quick Service)","4.4","3.3","1.1","Swiggy higher"
"Restaurant_1686","Hyderabad","Qsr (Quick Service)","3.2","4.3","1.1","Zomato higher"
"Restaurant_2040","Kolkata","Qsr (Quick Service)","3.1","4.2","1.1","Zomato higher"
"Restaurant_1835","Chennai","Casual Dining","3.7","4.8","1.1","Zomato higher"
"Restaurant_1834","Chennai","Cafe","3.6","4.7","1.1","Zomato higher"
"Restaurant_2142","Ahmedabad","Food Truck","3.3","4.4","1.1","Zomato higher"
"Restaurant_663","Bangalore","Qsr (Quick Service)","3.2","4.3","1.1","Zomato higher"
"Restaurant_1098","Delhi","Casual Dining","2.8","3.9","1.1","Zomato higher"
"Restaurant_975","Delhi","Qsr (Quick Service)","4.2","3.2","1.0","Swiggy higher"
"Restaurant_2464","Lucknow","Cloud Kitchen","3.1","4.1","1.0","Zomato higher"
"Restaurant_1983","Kolkata","Cloud Kitchen","3.9","2.9","1.0","Swiggy higher"
"Restaurant_1976","Kolkata","Food Truck","4.3","3.3","1.0","Swiggy higher"
"Restaurant_1794","Chennai","Cafe","3.5","4.5","1.0","Zomato higher"
"Restaurant_1973","Kolkata","Qsr (Quick Service)","4.8","3.8","1.0","Swiggy higher"
"Restaurant_2462","Lucknow","Cloud Kitchen","4.9","3.9","1.0","Swiggy higher"
"Restaurant_475","Bangalore","Qsr (Quick Service)","3.6","4.6","1.0","Zomato higher"
"Restaurant_1968","Kolkata","Qsr (Quick Service)","3.5","4.5","1.0","Zomato higher"
"Restaurant_1809","Chennai","Casual Dining","3.6","4.6","1.0","Zomato higher"
"Restaurant_481","Bangalore","Casual Dining","3.8","4.8","1.0","Zomato higher"
"Restaurant_1811","Chennai","Qsr (Quick Service)","3.6","4.6","1.0","Zomato higher"
"Restaurant_1953","Kolkata","Food Truck","3.8","4.8","1.0","Zomato higher"
"Restaurant_501","Bangalore","Food Truck","3.2","4.2","1.0","Zomato higher"
"Restaurant_1081","Delhi","Cafe","4.6","3.6","1.0","Swiggy higher"
"Restaurant_1005","Delhi","Cloud Kitchen","4.0","5.0","1.0","Zomato higher"
"Restaurant_548","Bangalore","Cloud Kitchen","3.0","4.0","1.0","Zomato higher"
"Restaurant_1910","Chennai","Cloud Kitchen","5.0","4.0","1.0","Swiggy higher"
"Restaurant_1158","Delhi","Cafe","3.3","4.3","1.0","Zomato higher"
"Restaurant_998","Delhi","Qsr (Quick Service)","4.7","3.7","1.0","Swiggy higher"
"Restaurant_1061","Delhi","Cloud Kitchen","4.3","3.3","1.0","Swiggy higher"
"Restaurant_1164","Delhi","Food Truck","4.0","3.0","1.0","Swiggy higher"
"Restaurant_1256","Pune","Cafe","4.5","3.5","1.0","Swiggy higher"
"Restaurant_1178","Delhi","Fine Dine","3.5","4.5","1.0","Zomato higher"
"Restaurant_1462","Pune","Food Truck","3.6","4.6","1.0","Zomato higher"
"Restaurant_1203","Delhi","Fine Dine","3.3","4.3","1.0","Zomato higher"
"Restaurant_1225","Delhi","Cafe","3.7","4.7","1.0","Zomato higher"
"Restaurant_1224","Delhi","Cafe","4.8","3.8","1.0","Swiggy higher"
"Restaurant_151","Mumbai","Casual Dining","4.4","3.4","1.0","Swiggy higher"
"Restaurant_2488","Lucknow","Casual Dining","3.7","4.7","1.0","Zomato higher"
"Restaurant_157","Mumbai","Qsr (Quick Service)","3.4","4.4","1.0","Zomato higher"
"Restaurant_926","Delhi","Cafe","4.2","3.2","1.0","Swiggy higher"
"Restaurant_917","Delhi","Qsr (Quick Service)","3.7","4.7","1.0","Zomato higher"
"Restaurant_905","Delhi","Casual Dining","4.3","3.3","1.0","Swiggy higher"
"Restaurant_2287","Jaipur","Qsr (Quick Service)","4.9","3.9","1.0","Swiggy higher"
"Restaurant_1552","Hyderabad","Cloud Kitchen","4.9","3.9","1.0","Swiggy higher"
"Restaurant_2286","Jaipur","Fine Dine","4.2","3.2","1.0","Swiggy higher"
"Restaurant_2275","Ahmedabad","Food Truck","3.6","4.6","1.0","Zomato higher"
"Restaurant_98","Mumbai","Qsr (Quick Service)","4.4","3.4","1.0","Swiggy higher"
"Restaurant_847","Bangalore","Casual Dining","4.4","3.4","1.0","Swiggy higher"
"Restaurant_846","Bangalore","Qsr (Quick Service)","3.6","4.6","1.0","Zomato higher"
"Restaurant_1584","Hyderabad","Cloud Kitchen","3.3","4.3","1.0","Zomato higher"
"Restaurant_32","Mumbai","Cloud Kitchen","4.7","3.7","1.0","Swiggy higher"
"Restaurant_1606","Hyderabad","Qsr (Quick Service)","4.0","5.0","1.0","Zomato higher"
"Restaurant_814","Bangalore","Qsr (Quick Service)","3.5","4.5","1.0","Zomato higher"
"Restaurant_2396","Jaipur","Food Truck","4.5","3.5","1.0","Swiggy higher"
"Restaurant_801","Bangalore","Fine Dine","3.7","4.7","1.0","Zomato higher"
"Restaurant_1072","Delhi","Cloud Kitchen","4.1","3.1","1.0","Swiggy higher"
"Restaurant_1633","Hyderabad","Food Truck","3.4","4.4","1.0","Zomato higher"
"Restaurant_773","Bangalore","Casual Dining","3.8","4.8","1.0","Zomato higher"
"Restaurant_1112","Delhi","Qsr (Quick Service)","3.7","4.7","1.0","Zomato higher"
"Restaurant_2472","Lucknow","Cafe","3.7","4.7","1.0","Zomato higher"
"Restaurant_1652","Hyderabad","Casual Dining","4.5","3.5","1.0","Swiggy higher"
"Restaurant_758","Bangalore","Qsr (Quick Service)","3.8","4.8","1.0","Zomato higher"
"Restaurant_2471","Lucknow","Cafe","3.7","4.7","1.0","Zomato higher"
"Restaurant_300","Mumbai","Qsr (Quick Service)","3.4","4.4","1.0","Zomato higher"
"Restaurant_1682","Hyderabad","Cloud Kitchen","4.6","3.6","1.0","Swiggy higher"
"Restaurant_1025","Delhi","Fine Dine","4.2","3.2","1.0","Swiggy higher"
"Restaurant_2123","Ahmedabad","Fine Dine","4.8","3.8","1.0","Swiggy higher"
"Restaurant_1297","Pune","Cafe","4.3","3.3","1.0","Swiggy higher"
"Restaurant_2101","Kolkata","Casual Dining","4.9","3.9","1.0","Swiggy higher"
"Restaurant_717","Bangalore","Qsr (Quick Service)","4.7","3.7","1.0","Swiggy higher"
"Restaurant_716","Bangalore","Food Truck","3.4","4.4","1.0","Zomato higher"
"Restaurant_2092","Kolkata","Fine Dine","4.7","3.7","1.0","Swiggy higher"
"Restaurant_349","Mumbai","Food Truck","4.0","3.0","1.0","Swiggy higher"
"Restaurant_1023","Delhi","Food Truck","4.5","3.5","1.0","Swiggy higher"
"Restaurant_709","Bangalore","Cloud Kitchen","4.6","3.6","1.0","Swiggy higher"
"Restaurant_357","Mumbai","Qsr (Quick Service)","3.6","4.6","1.0","Zomato higher"
"Restaurant_2075","Kolkata","Casual Dining","3.4","4.4","1.0","Zomato higher"
"Restaurant_1290","Pune","Qsr (Quick Service)","3.4","4.4","1.0","Zomato higher"
"Restaurant_699","Bangalore","Qsr (Quick Service)","3.6","4.6","1.0","Zomato higher"
"Restaurant_2052","Kolkata","Casual Dining","4.5","3.5","1.0","Swiggy higher"
"Restaurant_1078","Delhi","Food Truck","4.4","3.4","1.0","Swiggy higher"
"Restaurant_1130","Delhi","Casual Dining","3.8","4.8","1.0","Zomato higher"
"Restaurant_1744","Chennai","Cloud Kitchen","4.6","3.6","1.0","Swiggy higher"
"Restaurant_1746","Chennai","Cafe","3.3","4.3","1.0","Zomato higher"
"Restaurant_439","Mumbai","Fine Dine","3.3","4.3","1.0","Zomato higher"
"Restaurant_451","Bangalore","Fine Dine","4.8","3.8","1.0","Swiggy higher"
"Restaurant_631","Bangalore","Casual Dining","5.0","4.0","1.0","Swiggy higher"
"Restaurant_1264","Pune","Food Truck","3.9","4.8","0.9","Zomato higher"
"Restaurant_2091","Kolkata","Casual Dining","4.9","4.0","0.9","Swiggy higher"
"Restaurant_416","Mumbai","Qsr (Quick Service)","3.7","4.6","0.9","Zomato higher"
"Restaurant_2184","Ahmedabad","Food Truck","3.4","4.3","0.9","Zomato higher"
"Restaurant_1306","Pune","Casual Dining","3.5","4.4","0.9","Zomato higher"
"Restaurant_253","Mumbai","Fine Dine","3.9","4.8","0.9","Zomato higher"
"Restaurant_1142","Delhi","Casual Dining","4.1","5.0","0.9","Zomato higher"
"Restaurant_1857","Chennai","Cafe","3.4","4.3","0.9","Zomato higher"
"Restaurant_1777","Chennai","Fine Dine","4.5","3.6","0.9","Swiggy higher"
"Restaurant_1332","Pune","Cloud Kitchen","4.2","3.3","0.9","Swiggy higher"
"Restaurant_119","Mumbai","Casual Dining","3.9","4.8","0.9","Zomato higher"
"Restaurant_150","Mumbai","Cloud Kitchen","3.9","4.8","0.9","Zomato higher"
"Restaurant_938","Delhi","Casual Dining","3.9","4.8","0.9","Zomato higher"
"Restaurant_1587","Hyderabad","Casual Dining","3.5","4.4","0.9","Zomato higher"
"Restaurant_2076","Kolkata","Qsr (Quick Service)","4.6","3.7","0.9","Swiggy higher"
"Restaurant_43","Mumbai","Casual Dining","3.6","4.5","0.9","Zomato higher"
"Restaurant_19","Mumbai","Qsr (Quick Service)","4.4","3.5","0.9","Swiggy higher"
"Restaurant_427","Mumbai","Cloud Kitchen","4.1","3.2","0.9","Swiggy higher"
"Restaurant_2074","Kolkata","Qsr (Quick Service)","4.4","3.5","0.9","Swiggy higher"
"Restaurant_2500","Lucknow","Qsr (Quick Service)","3.7","4.6","0.9","Zomato higher"
"Restaurant_294","Mumbai","Fine Dine","3.8","4.7","0.9","Zomato higher"
"Restaurant_969","Delhi","Casual Dining","3.4","4.3","0.9","Zomato higher"
"Restaurant_418","Mumbai","Cafe","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1753","Chennai","Cloud Kitchen","4.1","5.0","0.9","Zomato higher"
"Restaurant_2236","Ahmedabad","Fine Dine","3.6","4.5","0.9","Zomato higher"
"Restaurant_650","Bangalore","Cloud Kitchen","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1772","Chennai","Food Truck","4.4","3.5","0.9","Swiggy higher"
"Restaurant_634","Bangalore","Cloud Kitchen","4.2","3.3","0.9","Swiggy higher"
"Restaurant_61","Mumbai","Food Truck","3.5","4.4","0.9","Zomato higher"
"Restaurant_1656","Hyderabad","Fine Dine","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1663","Hyderabad","Cafe","4.0","4.9","0.9","Zomato higher"
"Restaurant_1997","Kolkata","Qsr (Quick Service)","3.5","4.4","0.9","Zomato higher"
"Restaurant_697","Bangalore","Casual Dining","4.2","3.3","0.9","Swiggy higher"
"Restaurant_509","Bangalore","Fine Dine","3.9","3.0","0.9","Swiggy higher"
"Restaurant_1845","Chennai","Qsr (Quick Service)","4.4","3.5","0.9","Swiggy higher"
"Restaurant_382","Mumbai","Cloud Kitchen","3.5","4.4","0.9","Zomato higher"
"Restaurant_383","Mumbai","Cloud Kitchen","3.6","4.5","0.9","Zomato higher"
"Restaurant_1842","Chennai","Casual Dining","3.3","4.2","0.9","Zomato higher"
"Restaurant_797","Bangalore","Casual Dining","4.4","3.5","0.9","Swiggy higher"
"Restaurant_2205","Ahmedabad","Food Truck","3.8","4.7","0.9","Zomato higher"
"Restaurant_2469","Lucknow","Cloud Kitchen","4.7","3.8","0.9","Swiggy higher"
"Restaurant_1593","Hyderabad","Cloud Kitchen","3.3","4.2","0.9","Zomato higher"
"Restaurant_2159","Ahmedabad","Casual Dining","4.2","3.3","0.9","Swiggy higher"
"Restaurant_1421","Pune","Food Truck","4.5","3.6","0.9","Swiggy higher"
"Restaurant_1205","Delhi","Qsr (Quick Service)","4.3","3.4","0.9","Swiggy higher"
"Restaurant_309","Mumbai","Cafe","3.1","4.0","0.9","Zomato higher"
"Restaurant_640","Bangalore","Cloud Kitchen","3.3","4.2","0.9","Zomato higher"
"Restaurant_2358","Jaipur","Fine Dine","4.5","3.6","0.9","Swiggy higher"
"Restaurant_632","Bangalore","Fine Dine","3.6","4.5","0.9","Zomato higher"
"Restaurant_996","Delhi","Fine Dine","4.2","3.3","0.9","Swiggy higher"
"Restaurant_581","Bangalore","Fine Dine","4.7","3.8","0.9","Swiggy higher"
"Restaurant_1839","Chennai","Cafe","4.3","3.4","0.9","Swiggy higher"
"Restaurant_592","Bangalore","Casual Dining","4.5","3.6","0.9","Swiggy higher"
"Restaurant_796","Bangalore","Casual Dining","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1626","Hyderabad","Food Truck","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1146","Delhi","Food Truck","4.9","4.0","0.9","Swiggy higher"
"Restaurant_231","Mumbai","Casual Dining","3.5","4.4","0.9","Zomato higher"
"Restaurant_738","Bangalore","Cafe","5.0","4.1","0.9","Swiggy higher"
"Restaurant_1325","Pune","Casual Dining","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1740","Hyderabad","Cafe","3.6","4.5","0.9","Zomato higher"
"Restaurant_1685","Hyderabad","Qsr (Quick Service)","3.9","3.0","0.9","Swiggy higher"
"Restaurant_2477","Lucknow","Food Truck","4.3","3.4","0.9","Swiggy higher"
"Restaurant_1630","Hyderabad","Food Truck","4.5","3.6","0.9","Swiggy higher"
"Restaurant_2478","Lucknow","Food Truck","3.7","4.6","0.9","Zomato higher"
"Restaurant_2486","Lucknow","Qsr (Quick Service)","4.3","3.4","0.9","Swiggy higher"
"Restaurant_910","Delhi","Fine Dine","4.3","3.4","0.9","Swiggy higher"
"Restaurant_1132","Delhi","Cloud Kitchen","3.9","3.0","0.9","Swiggy higher"
"Restaurant_154","Mumbai","Food Truck","4.5","3.6","0.9","Swiggy higher"
"Restaurant_1517","Hyderabad","Fine Dine","4.8","3.9","0.9","Swiggy higher"
"Restaurant_25","Mumbai","Qsr (Quick Service)","4.8","3.9","0.9","Swiggy higher"
"Restaurant_1774","Chennai","Cloud Kitchen","3.6","4.5","0.9","Zomato higher"
"Restaurant_1898","Chennai","Casual Dining","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1688","Hyderabad","Fine Dine","4.1","5.0","0.9","Zomato higher"
"Restaurant_1144","Delhi","Fine Dine","3.3","4.2","0.9","Zomato higher"
"Restaurant_2420","Lucknow","Casual Dining","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1532","Hyderabad","Cloud Kitchen","3.5","4.4","0.9","Zomato higher"
"Restaurant_1595","Hyderabad","Food Truck","4.5","3.6","0.9","Swiggy higher"
"Restaurant_2115","Kolkata","Casual Dining","4.8","3.9","0.9","Swiggy higher"
"Restaurant_5","Mumbai","Cafe","4.8","3.9","0.9","Swiggy higher"
"Restaurant_248","Mumbai","Cafe","4.5","3.6","0.9","Swiggy higher"
"Restaurant_1503","Hyderabad","Fine Dine","3.2","4.1","0.9","Zomato higher"
"Restaurant_545","Bangalore","Qsr (Quick Service)","3.3","4.2","0.9","Zomato higher"
"Restaurant_2289","Jaipur","Casual Dining","4.1","5.0","0.9","Zomato higher"
"Restaurant_332","Mumbai","Cloud Kitchen","3.7","4.6","0.9","Zomato higher"
"Restaurant_1273","Pune","Cafe","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1815","Chennai","Qsr (Quick Service)","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1575","Hyderabad","Food Truck","4.8","3.9","0.9","Swiggy higher"
"Restaurant_1336","Pune","Qsr (Quick Service)","3.7","4.6","0.9","Zomato higher"
"Restaurant_1048","Delhi","Cloud Kitchen","4.1","3.2","0.9","Swiggy higher"
"Restaurant_1401","Pune","Qsr (Quick Service)","4.3","3.4","0.9","Swiggy higher"
"Restaurant_1909","Chennai","Qsr (Quick Service)","3.4","4.3","0.9","Zomato higher"
"Restaurant_1643","Hyderabad","Fine Dine","4.9","4.0","0.9","Swiggy higher"
"Restaurant_2333","Jaipur","Food Truck","4.4","3.5","0.9","Swiggy higher"
"Restaurant_1596","Hyderabad","Cloud Kitchen","3.6","4.5","0.9","Zomato higher"
"Restaurant_918","Delhi","Cloud Kitchen","3.7","4.6","0.9","Zomato higher"
"Restaurant_1694","Hyderabad","Qsr (Quick Service)","4.2","3.3","0.9","Swiggy higher"
