restaurant_id,restaurant_name,city,locality,restaurant_type,cuisines,distance_from_city_center_km,opening_time,closing_time,days_operational,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,has_own_website,has_own_app,food_license_verified,listing_date,days_listed,swiggy_revenue_outlier_flag,zomato_revenue_outlier_flag,swiggy_orders_outlier_flag,zomato_orders_outlier_flag
REST000011,Restaurant_11,Mumbai,Mumbai_Locality_6,Fine Dine,Cafe,6.9,12:00,23:00,2255,3.1,4343,3.2,74,3.15,1285,Luxury,54,54,36,45,13,13,6,13,121,125,135271,139743,132004,136368,54,46,Zomato Better,WiFi; Smoking Area; Vegan Options; Live Music,4,FALSE,TRUE,FALSE,31-07-2018,2845,Normal,Normal,Normal,Normal
REST000012,Restaurant_12,Mumbai,Mumbai_Locality_2,Food Truck,Multi-Cuisine,1.8,09:00,22:00,1764,4.7,2155,4,1333,4.35,1054,Premium,30,30,23,26,17,22,24,11,140,119,122474,97832,120374,96047,45,55,Swiggy Better,Vegan Options; Alcohol; Outdoor Seating; AC; Rooftop,5,TRUE,FALSE,TRUE,14-03-2022,1523,Normal,Normal,Normal,Normal
REST000013,Restaurant_13,Mumbai,Mumbai_Locality_4,Qsr (Quick Service),Bakery; Biryani,5.6,10:00,22:00,2323,4.3,1341,3.9,1460,4.1,994,Premium,48,48,44,37,23,22,17,9,255,231,195171,179098,189051,173554,52,48,Swiggy Better,Rooftop; Bar; Takeaway; AC,4,TRUE,FALSE,TRUE,17-10-2023,941,Normal,Normal,Normal,Normal
REST000014,Restaurant_14,Mumbai,Mumbai_Locality_8,Cloud Kitchen,Pan-Asian,3.7,08:00,23:00,2733,3.6,2296,4.7,2886,4.15,1463,Luxury,38,38,24,31,24,22,9,25,296,387,329116,441621,323492,434268,72,28,Zomato Better,WiFi; Dine-in; Takeaway; Vegan Options; AC; Parking; Bar,7,FALSE,TRUE,TRUE,20-12-2021,1607,Normal,Outlier,Normal,Normal
REST000015,Restaurant_15,Mumbai,Mumbai_Locality_17,Qsr (Quick Service),South Indian; North Indian,13.9,12:00,22:00,2235,3.9,2714,4.1,2581,4,405,Mid-Range,89,89,52,48,19,19,9,14,229,240,75123,78732,64932,68052,51,49,Zomato Better,AC; Dessert Bar; Smoking Area; Private Room,4,TRUE,FALSE,TRUE,25-09-2021,1693,Normal,Normal,Normal,Normal
REST000016,Restaurant_16,Mumbai,Mumbai_Locality_19,Qsr (Quick Service),Seafood,9.3,10:00,23:00,1349,3.7,3886,4.1,1400,3.9,1499,Luxury,66,66,48,46,19,22,8,19,197,218,239195,254889,232694,247695,58,42,Zomato Better,Rooftop; Live Music; Outdoor Seating; Dine-in,4,TRUE,TRUE,TRUE,16-12-2020,1976,Normal,Normal,Normal,Normal
REST000017,Restaurant_17,Mumbai,Mumbai_Locality_7,Cloud Kitchen,Mexican; Korean,10.9,10:00,23:00,1602,4,55,4.6,883,4.3,1020,Premium,74,74,48,55,25,25,6,34,292,336,223380,257040,212576,244608,69,31,Zomato Better,Rooftop; Family Friendly; Dessert Bar; Alcohol,4,FALSE,FALSE,FALSE,02-06-2019,2539,Normal,Normal,Normal,Normal
REST000018,Restaurant_18,Mumbai,Mumbai_Locality_15,Food Truck,Street Food; Multi-Cuisine,4.3,12:00,23:00,1042,4,1969,3.5,2259,3.75,1050,Premium,41,41,37,35,19,20,14,7,109,95,92704,79800,90470,77852,50,50,Swiggy Better,AC; Bar; Outdoor Seating; Private Room,4,TRUE,TRUE,FALSE,20-08-2021,1729,Normal,Normal,Normal,Normal
REST000019,Restaurant_19,Mumbai,Mumbai_Locality_2,Qsr (Quick Service),Japanese,3.5,10:00,22:00,1750,4.4,3126,3.5,3917,3.95,162,Budget,37,37,35,30,22,22,17,12,245,195,30958,24640,26425,21032,53,47,Swiggy Better,WiFi; AC; Family Friendly; Dine-in,4,FALSE,FALSE,FALSE,15-10-2018,2769,Normal,Normal,Normal,Normal
REST000020,Restaurant_20,Mumbai,Mumbai_Locality_20,Cafe,Fast Food; Continental,8.2,11:00,22:00,1643,4.4,3792,4.2,1498,4.3,252,Budget,60,60,41,45,19,22,18,23,194,185,39599,36363,33779,30813,54,46,Swiggy Better,Private Room; Takeaway; Family Friendly; Dine-in; Alcohol,5,TRUE,FALSE,TRUE,10-10-2023,948,Normal,Normal,Normal,Normal
REST000021,Restaurant_21,Mumbai,Mumbai_Locality_7,Cafe,South Indian; Cafe,12.7,08:00,22:00,2574,4.4,4630,4.4,1795,4.4,1102,Premium,83,83,47,42,21,21,13,15,214,214,186304,186304,177423,177423,48,52,Balanced,Takeaway; Vegan Options; Dine-in; WiFi; Private Room,5,FALSE,FALSE,TRUE,09-04-2018,2958,Normal,Normal,Normal,Normal
REST000022,Restaurant_22,Mumbai,Mumbai_Locality_8,Fine Dine,Korean; Lebanese,2,09:00,22:00,3194,4.1,346,3.5,2854,3.8,1241,Luxury,30,30,24,31,14,17,25,6,176,150,187837,154504,185197,152254,48,52,Swiggy Better,Parking; Dessert Bar; Family Friendly; Bar; Outdoor Seating; AC,6,TRUE,FALSE,FALSE,20-05-2019,2552,Normal,Normal,Normal,Normal
REST000023,Restaurant_23,Mumbai,Mumbai_Locality_9,Cloud Kitchen,Mexican; Korean,5.2,07:00,23:00,1035,4.2,3816,3.8,4678,4,1399,Luxury,46,46,33,31,24,25,21,9,287,260,305149,272805,298548,266825,65,35,Swiggy Better,WiFi; Vegan Options; Bar; Smoking Area; Alcohol,5,TRUE,TRUE,TRUE,30-04-2025,380,Normal,Normal,Normal,Normal
REST000024,Restaurant_24,Mumbai,Mumbai_Locality_8,Cafe,Mexican,10.5,12:00,23:00,2675,3.9,2420,4,1825,3.95,978,Premium,72,72,44,42,20,20,11,20,191,196,149438,153350,142562,146294,57,43,Zomato Better,Bar; Family Friendly; WiFi; Rooftop; Smoking Area,5,TRUE,TRUE,TRUE,14-03-2018,2984,Normal,Normal,Normal,Normal
REST000025,Restaurant_25,Mumbai,Mumbai_Locality_7,Qsr (Quick Service),Italian; Fast Food,3.6,09:00,23:00,2013,4.8,2436,3.9,1873,4.35,889,Premium,38,38,32,32,19,23,37,9,275,223,198024,152650,192799,148413,56,44,Swiggy Better,Outdoor Seating; Dessert Bar; Rooftop; Family Friendly; Takeaway; Dine-in; WiFi; Bar,8,FALSE,FALSE,TRUE,20-06-2022,1425,Normal,Normal,Normal,Normal
REST000026,Restaurant_26,Mumbai,Mumbai_Locality_4,Fine Dine,Desserts; Multi-Cuisine,12.4,10:00,22:00,1671,3.5,1252,3.7,1232,3.6,1302,Luxury,82,82,51,49,15,14,14,14,129,136,142764,152281,137475,146705,44,56,Zomato Better,Rooftop; Alcohol; AC; Family Friendly,4,FALSE,FALSE,FALSE,22-08-2016,3553,Normal,Normal,Normal,Normal
REST000027,Restaurant_27,Mumbai,Mumbai_Locality_4,Qsr (Quick Service),Korean; Vietnamese,14.2,12:00,22:00,881,4,1974,4.2,1433,4.1,1280,Luxury,91,91,53,53,21,19,17,19,201,211,203251,218764,194105,209164,54,46,Zomato Better,WiFi; Bar; Family Friendly; Takeaway; Dessert Bar; Live Music; Smoking Area; Vegan Options,8,FALSE,TRUE,TRUE,07-03-2020,2260,Normal,Normal,Normal,Normal
REST000028,Restaurant_28,Mumbai,Mumbai_Locality_3,Cafe,Continental; Continental,1.4,09:00,23:00,3276,3.6,2501,4.2,3307,3.9,707,Premium,30,30,21,27,17,20,10,18,187,219,109733,123866,106928,120581,47,53,Zomato Better,Takeaway; Live Music; Dessert Bar,3,TRUE,FALSE,TRUE,29-10-2019,2390,Normal,Normal,Normal,Normal
REST000029,Restaurant_29,Mumbai,Mumbai_Locality_15,Casual Dining,Multi-Cuisine,13.8,11:00,23:00,773,3.7,757,3.7,3860,3.7,862,Premium,89,89,48,54,18,19,12,9,184,184,130058,128472,121870,120284,42,58,Swiggy Better,AC; Private Room; Rooftop; Alcohol; Dine-in; Family Friendly; Takeaway; Parking,8,FALSE,FALSE,FALSE,27-12-2024,504,Normal,Normal,Normal,Normal
REST000030,Restaurant_30,Mumbai,Mumbai_Locality_15,Food Truck,North Indian; Japanese,6.5,11:00,23:00,798,3.7,3631,3.7,432,3.7,566,Mid-Range,52,52,37,40,22,20,5,15,98,98,43265,44374,40717,41826,51,49,Zomato Better,Rooftop; Live Music; Bar; Outdoor Seating; WiFi; Alcohol; Dine-in,7,FALSE,TRUE,TRUE,08-10-2023,950,Normal,Normal,Normal,Normal
REST000031,Restaurant_31,Mumbai,Mumbai_Locality_16,Cloud Kitchen,Italian; Continental,14,11:00,23:00,1225,3.6,3878,4.2,2006,3.9,1085,Premium,90,90,48,51,25,27,6,18,252,294,205065,232862,193725,219632,73,27,Zomato Better,Parking; Rooftop; Alcohol; WiFi; Dine-in; Bar,6,FALSE,FALSE,TRUE,01-08-2016,3574,Normal,Normal,Normal,Normal
REST000032,Restaurant_32,Mumbai,Mumbai_Locality_11,Cloud Kitchen,Japanese,8.5,10:00,23:00,2255,4.7,1966,3.7,4694,4.2,934,Premium,62,62,42,50,26,26,32,11,369,290,255038,200436,243599,191446,56,44,Swiggy Better,Rooftop; Private Room; Dessert Bar; Outdoor Seating; Family Friendly; Dine-in; Bar; Parking,8,TRUE,FALSE,FALSE,03-03-2025,438,Normal,Normal,Normal,Normal
REST000033,Restaurant_33,Mumbai,Mumbai_Locality_5,Fine Dine,Continental,1.6,09:00,23:00,3231,3.7,667,3.7,2701,3.7,1242,Luxury,30,30,25,31,17,17,5,14,160,160,164937,164937,162537,162537,51,49,Balanced,Live Music; Dessert Bar; Private Room,3,FALSE,TRUE,TRUE,30-11-2017,3088,Normal,Normal,Normal,Normal
REST000034,Restaurant_34,Mumbai,Mumbai_Locality_15,Cloud Kitchen,Italian; Italian,2.9,07:00,22:00,1256,3.9,2946,4.1,3080,4,1032,Premium,34,34,34,35,27,23,6,22,274,288,206420,228856,201762,223960,66,34,Zomato Better,Dessert Bar; Live Music; Family Friendly; Vegan Options; Outdoor Seating; Private Room; Rooftop,7,FALSE,FALSE,TRUE,05-06-2023,1075,Normal,Normal,Normal,Normal
REST000035,Restaurant_35,Mumbai,Mumbai_Locality_3,Cloud Kitchen,Seafood; Fast Food,6.9,11:00,23:00,1445,3.7,2058,3.7,3752,3.7,768,Premium,54,54,40,43,23,25,14,9,265,265,156710,152640,149555,145485,65,35,Swiggy Better,WiFi; Dine-in; Dessert Bar; AC; Smoking Area; Private Room; Vegan Options; Family Friendly,8,FALSE,TRUE,FALSE,25-06-2019,2516,Normal,Normal,Normal,Normal
REST000036,Restaurant_36,Mumbai,Mumbai_Locality_9,Casual Dining,Lebanese,10.3,12:00,22:00,2982,3.4,332,3.4,2540,3.4,1052,Premium,71,71,50,46,22,19,11,7,215,215,176420,183205,168787,175573,42,58,Zomato Better,Outdoor Seating; Rooftop; Alcohol; Parking,4,FALSE,TRUE,FALSE,29-05-2023,1082,Normal,Normal,Normal,Normal
REST000037,Restaurant_37,Mumbai,Mumbai_Locality_3,Qsr (Quick Service),Mughlai; Street Food,2.5,12:00,23:00,954,4.7,3006,3.9,749,4.3,958,Premium,32,32,36,30,21,21,38,11,239,198,180879,149850,177055,146682,54,46,Swiggy Better,Parking; Takeaway; Dessert Bar; Live Music; Family Friendly; Dine-in; Alcohol; Smoking Area,8,TRUE,TRUE,FALSE,01-03-2019,2632,Normal,Normal,Normal,Normal
REST000038,Restaurant_38,Mumbai,Mumbai_Locality_5,Cafe,Seafood; Italian,1.2,09:00,23:00,182,4.2,4413,4.2,1121,4.2,945,Premium,30,30,20,29,23,20,14,23,154,154,112058,116424,109748,114114,60,40,Zomato Better,Takeaway; Private Room; Family Friendly; Vegan Options; AC; WiFi; Dine-in; Parking,8,TRUE,FALSE,TRUE,20-04-2021,1851,Normal,Normal,Normal,Normal
REST000039,Restaurant_39,Mumbai,Mumbai_Locality_18,Qsr (Quick Service),Italian; Pan-Asian,13.6,09:00,22:00,2671,3.8,1010,4.2,3735,4,337,Mid-Range,88,88,48,46,17,22,8,14,233,258,65172,67817,54920,56465,57,43,Zomato Better,Live Music; Takeaway; Rooftop; Alcohol; Smoking Area; Vegan Options; Dessert Bar,7,TRUE,FALSE,TRUE,09-08-2017,3201,Normal,Normal,Normal,Normal
REST000040,Restaurant_40,Mumbai,Mumbai_Locality_5,Food Truck,North Indian,14.8,09:00,22:00,2242,4.6,1089,4.5,131,4.55,883,Premium,94,94,55,51,18,17,33,13,144,141,104264,103337,97496,96710,51,49,Swiggy Better,Bar; Takeaway; Family Friendly,3,FALSE,FALSE,TRUE,13-07-2020,2132,Normal,Normal,Normal,Normal
REST000041,Restaurant_41,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Thai,1.1,12:00,23:00,3238,3,508,4.3,3933,3.65,972,Premium,30,30,25,28,25,27,10,14,259,372,188811,263956,184926,258376,69,31,Zomato Better,Outdoor Seating; WiFi; Vegan Options,3,FALSE,FALSE,FALSE,04-08-2019,2476,Normal,Normal,Normal,Normal
REST000042,Restaurant_42,Mumbai,Mumbai_Locality_4,Cloud Kitchen,Thai; Italian,12.9,11:00,22:00,2696,3.2,3399,4.4,2786,3.8,1078,Premium,84,84,44,55,24,24,7,25,262,361,214651,295760,203647,280598,61,39,Zomato Better,Takeaway; Private Room; Smoking Area,3,TRUE,FALSE,FALSE,16-03-2025,425,Normal,Normal,Normal,Normal
REST000043,Restaurant_43,Mumbai,Mumbai_Locality_18,Casual Dining,Japanese,8.6,07:00,23:00,2774,3.6,3474,4.5,431,4.05,739,Premium,63,63,38,39,18,21,8,13,223,279,135133,162882,128109,154094,49,51,Zomato Better,Private Room; Alcohol; Parking; Takeaway; WiFi,5,TRUE,FALSE,TRUE,23-10-2016,3491,Normal,Normal,Normal,Normal
REST000044,Restaurant_44,Mumbai,Mumbai_Locality_1,Food Truck,Biryani; Desserts,3.1,09:00,23:00,2908,3.8,1183,4.2,4649,4,1496,Luxury,35,35,28,32,17,21,8,22,127,140,157693,165457,155470,163007,58,42,Zomato Better,Family Friendly; Parking; Outdoor Seating; Private Room; WiFi; Bar,6,TRUE,TRUE,TRUE,17-07-2024,667,Normal,Normal,Normal,Normal
REST000045,Restaurant_45,Mumbai,Mumbai_Locality_15,Food Truck,South Indian; Desserts,10.1,11:00,23:00,2019,3.8,4207,4.1,942,3.95,856,Premium,70,70,41,46,20,21,5,17,116,125,79436,84530,75376,80155,59,41,Zomato Better,Vegan Options; Dine-in; Private Room; Live Music; WiFi; Bar,6,TRUE,FALSE,FALSE,16-01-2023,1215,Normal,Normal,Normal,Normal
REST000046,Restaurant_46,Mumbai,Mumbai_Locality_14,Fine Dine,North Indian,3,11:00,22:00,1587,3.2,2911,4,600,3.6,963,Premium,35,35,31,29,18,17,14,23,116,146,91600,116696,89570,114141,40,60,Zomato Better,AC; Bar; Dessert Bar; Smoking Area; WiFi; Takeaway; Private Room,7,TRUE,FALSE,FALSE,12-05-2024,733,Normal,Normal,Normal,Normal
REST000047,Restaurant_47,Mumbai,Mumbai_Locality_4,Cafe,Pan-Asian,4,10:00,22:00,2442,3.7,2791,4.2,1825,3.95,832,Premium,40,40,33,31,20,18,10,21,177,201,117811,137130,114271,133110,58,42,Zomato Better,Private Room; Dessert Bar; Outdoor Seating; Live Music; Takeaway; Rooftop; WiFi; Bar,8,TRUE,TRUE,TRUE,06-10-2017,3143,Normal,Normal,Normal,Normal
REST000048,Restaurant_48,Mumbai,Mumbai_Locality_19,Casual Dining,Lebanese,11.5,12:00,23:00,1868,4.4,1246,3.6,3612,4,289,Budget,77,77,41,49,21,19,12,9,248,203,56620,47520,47072,39704,52,48,Swiggy Better,Family Friendly; Dine-in; Private Room; Parking; WiFi; Takeaway,6,TRUE,FALSE,TRUE,05-02-2021,1925,Normal,Normal,Normal,Normal
REST000049,Restaurant_49,Mumbai,Mumbai_Locality_20,Cloud Kitchen,Korean; Mughlai,7.4,07:00,23:00,647,4.7,2823,4.5,700,4.6,1183,Premium,57,57,38,38,28,25,39,25,306,293,260638,259964,251917,251613,69,31,Swiggy Better,Parking; WiFi; AC; Rooftop; Smoking Area,5,TRUE,FALSE,FALSE,20-07-2025,299,Normal,Normal,Normal,Normal
REST000050,Restaurant_50,Mumbai,Mumbai_Locality_9,Fine Dine,Japanese; Seafood,11,11:00,22:00,2719,3.7,1168,4.5,2875,4.1,785,Premium,75,75,54,45,16,18,9,37,152,185,100228,119084,94528,112147,46,54,Zomato Better,Dessert Bar; Rooftop; Parking; Outdoor Seating; Smoking Area; Alcohol,6,TRUE,FALSE,FALSE,02-08-2020,2112,Normal,Normal,Normal,Normal
REST000051,Restaurant_51,Mumbai,Mumbai_Locality_7,Fine Dine,Pan-Asian,5.5,10:00,22:00,3168,4,642,4.2,2433,4.1,357,Mid-Range,47,47,29,35,15,16,14,22,172,180,52193,53978,48151,49748,51,49,Zomato Better,Outdoor Seating; Smoking Area; Bar; Vegan Options,4,TRUE,FALSE,FALSE,19-10-2025,208,Normal,Normal,Normal,Normal
REST000052,Restaurant_52,Mumbai,Mumbai_Locality_20,Qsr (Quick Service),Biryani; Street Food,4.6,10:00,22:00,3096,3.7,3852,3.9,1599,3.8,903,Premium,42,42,31,28,22,22,13,13,237,249,166928,175380,161951,170151,54,46,Zomato Better,Outdoor Seating; Private Room; Live Music; Vegan Options; Smoking Area; WiFi,6,TRUE,FALSE,FALSE,26-06-2016,3610,Normal,Normal,Normal,Normal
REST000053,Restaurant_53,Mumbai,Mumbai_Locality_4,Food Truck,Italian; Thai,4.6,08:00,23:00,3155,3.5,3593,4.2,761,3.85,604,Mid-Range,42,42,38,24,19,19,10,17,120,144,58708,70450,56188,67426,64,36,Zomato Better,Takeaway; Parking; Live Music; Dine-in; Private Room; Smoking Area,6,FALSE,TRUE,TRUE,29-09-2024,593,Normal,Normal,Normal,Normal
REST000054,Restaurant_54,Mumbai,Mumbai_Locality_16,Qsr (Quick Service),Multi-Cuisine; Continental,7,07:00,22:00,51,4,4505,4.8,4997,4.4,1230,Luxury,55,55,31,43,18,18,24,22,181,217,182556,218866,177579,212898,50,50,Zomato Better,Private Room; Family Friendly; Vegan Options,3,TRUE,TRUE,TRUE,25-03-2018,2973,Normal,Normal,Normal,Normal
REST000055,Restaurant_55,Mumbai,Mumbai_Locality_12,Qsr (Quick Service),Mexican,4,08:00,22:00,1736,3.6,4319,3.9,4467,3.75,1189,Premium,40,40,34,27,22,17,11,10,200,217,185484,214150,181484,209810,45,55,Zomato Better,Bar; Dine-in; Parking; Takeaway; Rooftop,5,TRUE,TRUE,FALSE,20-08-2017,3190,Normal,Normal,Normal,Normal
REST000056,Restaurant_56,Mumbai,Mumbai_Locality_11,Casual Dining,South Indian,12.3,12:00,23:00,747,4.5,1503,3.9,1114,4.2,279,Budget,81,81,47,37,18,22,21,10,223,193,51017,42000,41986,34184,41,59,Swiggy Better,Alcohol; AC; Smoking Area; Family Friendly; WiFi,5,TRUE,TRUE,FALSE,30-01-2023,1201,Normal,Normal,Normal,Normal
REST000057,Restaurant_57,Mumbai,Mumbai_Locality_4,Fine Dine,Lebanese,12.1,10:00,23:00,1819,4.3,1540,3.8,4074,4.05,1168,Premium,80,80,43,55,12,15,23,14,161,142,165482,140977,159042,135297,44,56,Swiggy Better,Alcohol; WiFi; Parking; Takeaway,4,TRUE,FALSE,FALSE,16-11-2018,2737,Normal,Normal,Normal,Normal
REST000058,Restaurant_58,Mumbai,Mumbai_Locality_6,Qsr (Quick Service),Street Food; Mexican,10.5,10:00,22:00,1469,3.9,3573,3.1,2259,3.5,1459,Luxury,72,72,58,44,21,19,15,7,210,167,242048,197358,234488,191346,47,53,Swiggy Better,Outdoor Seating; Private Room; Vegan Options,3,FALSE,TRUE,TRUE,14-11-2024,547,Normal,Normal,Normal,Normal
REST000059,Restaurant_59,Mumbai,Mumbai_Locality_13,Casual Dining,Lebanese,14.3,11:00,22:00,162,3.6,3057,3.1,3646,3.35,307,Mid-Range,91,91,48,50,21,18,6,5,165,142,40017,35747,32509,29286,46,54,Swiggy Better,Outdoor Seating; Family Friendly; Alcohol; AC; Rooftop; Takeaway; WiFi; Dessert Bar,8,FALSE,TRUE,FALSE,05-06-2019,2536,Normal,Normal,Normal,Normal
REST000060,Restaurant_60,Mumbai,Mumbai_Locality_5,Cafe,Multi-Cuisine,12.9,08:00,23:00,1881,4.7,2628,4,2856,4.35,282,Budget,84,84,46,49,18,21,40,15,212,181,49022,40323,40118,32721,51,49,Swiggy Better,Alcohol; Live Music; Takeaway; Private Room; Outdoor Seating,5,TRUE,FALSE,FALSE,29-12-2025,137,Normal,Normal,Normal,Normal
REST000061,Restaurant_61,Mumbai,Mumbai_Locality_18,Food Truck,Korean,2.4,07:00,23:00,383,3.5,3931,4.4,4316,3.95,991,Premium,31,31,30,20,23,21,12,24,88,111,67150,86900,65786,85180,46,54,Zomato Better,Alcohol; Parking; Outdoor Seating; Smoking Area; Dessert Bar; Vegan Options; Rooftop; Bar,8,FALSE,TRUE,TRUE,18-12-2016,3435,Normal,Normal,Normal,Normal
REST000062,Restaurant_62,Mumbai,Mumbai_Locality_6,Food Truck,Continental,5.2,08:00,23:00,2935,4.5,2336,3.8,656,4.15,663,Mid-Range,46,46,39,47,21,21,22,13,151,127,79089,66518,75616,63597,50,50,Swiggy Better,Outdoor Seating; Vegan Options; Private Room; Smoking Area; Bar; Rooftop; Parking; Dine-in,8,TRUE,TRUE,FALSE,11-10-2025,216,Normal,Normal,Normal,Normal
REST000063,Restaurant_63,Mumbai,Mumbai_Locality_20,Cafe,Bakery; Mexican,9.8,12:00,23:00,2069,3.8,2016,3.7,3336,3.75,759,Premium,69,69,37,46,19,20,10,14,175,170,107588,103224,101550,97359,48,52,Swiggy Better,Parking; Private Room; Bar; Smoking Area,4,FALSE,FALSE,FALSE,27-10-2024,565,Normal,Normal,Normal,Normal
